Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:10:57.041000,LAT,6,0 days 00:01:49.940000,35.0,3.0,,,0 days 00:00:39.487000,0 days 00:00:44.847000,0 days 00:00:25.606000,0 days 02:09:46.589000,0 days 02:10:31.436000,0 days 02:10:57.042000,197.0,213.0,315.0,318.0,True,HARD,18.0,True,Williams,0 days 02:09:07.101000,,1,16.0,,,False,True
0 days 02:12:47.136000,LAT,6,0 days 00:01:50.095000,36.0,3.0,,,0 days 00:00:39.235000,0 days 00:00:45.096000,0 days 00:00:25.764000,0 days 02:11:36.277000,0 days 02:12:21.373000,0 days 02:12:47.137000,202.0,208.0,318.0,318.0,False,HARD,19.0,True,Williams,0 days 02:10:57.041000,,1,16.0,,,False,True
0 days 02:14:36.719000,LAT,6,0 days 00:01:49.583000,37.0,3.0,,,0 days 00:00:39.095000,0 days 00:00:44.794000,0 days 00:00:25.694000,0 days 02:13:26.232000,0 days 02:14:11.026000,0 days 02:14:36.720000,195.0,217.0,317.0,317.0,True,HARD,20.0,True,Williams,0 days 02:12:47.136000,,1,16.0,,,False,True
0 days 02:16:26.579000,LAT,6,0 days 00:01:49.860000,38.0,3.0,,,0 days 00:00:39.209000,0 days 00:00:44.919000,0 days 00:00:25.732000,0 days 02:15:15.929000,0 days 02:16:00.848000,0 days 02:16:26.580000,199.0,203.0,318.0,317.0,False,HARD,21.0,True,Williams,0 days 02:14:36.719000,,1,16.0,,,False,True
0 days 02:18:16.589000,LAT,6,0 days 00:01:50.010000,39.0,3.0,,,0 days 00:00:39.295000,0 days 00:00:44.933000,0 days 00:00:25.782000,0 days 02:17:05.875000,0 days 02:17:50.808000,0 days 02:18:16.590000,193.0,212.0,318.0,316.0,False,HARD,22.0,True,Williams,0 days 02:16:26.579000,,1,16.0,,,False,True
0 days 02:20:07.043000,LAT,6,0 days 00:01:50.454000,40.0,3.0,,,0 days 00:00:39.293000,0 days 00:00:45.318000,0 days 00:00:25.843000,0 days 02:18:55.883000,0 days 02:19:41.201000,0 days 02:20:07.044000,196.0,211.0,318.0,316.0,False,HARD,23.0,True,Williams,0 days 02:18:16.589000,,1,16.0,,,False,True
0 days 02:21:58.660000,LAT,6,0 days 00:01:51.617000,41.0,3.0,,,0 days 00:00:39.208000,0 days 00:00:45.394000,0 days 00:00:27.015000,0 days 02:20:46.252000,0 days 02:21:31.646000,0 days 02:21:58.661000,189.0,208.0,262.0,316.0,False,HARD,24.0,True,Williams,0 days 02:20:07.043000,,1,16.0,,,False,True
0 days 02:23:51.343000,LAT,6,0 days 00:01:52.683000,42.0,3.0,,,0 days 00:00:40.983000,0 days 00:00:45.940000,0 days 00:00:25.760000,0 days 02:22:39.644000,0 days 02:23:25.584000,0 days 02:23:51.344000,200.0,200.0,322.0,317.0,False,HARD,25.0,True,Williams,0 days 02:21:58.660000,,1,16.0,,,False,True
0 days 02:25:43.205000,LAT,6,0 days 00:01:51.862000,43.0,3.0,,,0 days 00:00:39.983000,0 days 00:00:46.019000,0 days 00:00:25.860000,0 days 02:24:31.327000,0 days 02:25:17.346000,0 days 02:25:43.206000,196.0,200.0,318.0,318.0,False,HARD,26.0,True,Williams,0 days 02:23:51.343000,,1,16.0,,,False,True
0 days 02:27:34.741000,LAT,6,0 days 00:01:51.536000,44.0,3.0,,,0 days 00:00:39.592000,0 days 00:00:45.440000,0 days 00:00:26.504000,0 days 02:26:22.798000,0 days 02:27:08.238000,0 days 02:27:34.742000,195.0,204.0,268.0,318.0,False,HARD,27.0,True,Williams,0 days 02:25:43.205000,,1,16.0,,,False,True
0 days 02:29:26.188000,LAT,6,0 days 00:01:51.447000,45.0,3.0,,,0 days 00:00:40.344000,0 days 00:00:45.435000,0 days 00:00:25.668000,0 days 02:28:15.086000,0 days 02:29:00.521000,0 days 02:29:26.189000,195.0,200.0,323.0,320.0,False,HARD,28.0,True,Williams,0 days 02:27:34.741000,,1,16.0,,,False,True
0 days 02:31:16.423000,LAT,6,0 days 00:01:50.235000,46.0,3.0,,,0 days 00:00:39.352000,0 days 00:00:45.229000,0 days 00:00:25.654000,0 days 02:30:05.541000,0 days 02:30:50.770000,0 days 02:31:16.424000,196.0,206.0,319.0,319.0,False,HARD,29.0,True,Williams,0 days 02:29:26.188000,,1,16.0,,,False,True
0 days 02:33:12.603000,LAT,6,0 days 00:01:56.180000,47.0,3.0,,,0 days 00:00:43.972000,0 days 00:00:46.528000,0 days 00:00:25.680000,0 days 02:32:00.396000,0 days 02:32:46.924000,0 days 02:33:12.604000,129.0,202.0,324.0,321.0,False,HARD,30.0,True,Williams,0 days 02:31:16.423000,,1,15.0,,,False,True
0 days 02:35:02.729000,LAT,6,0 days 00:01:50.126000,48.0,3.0,,,0 days 00:00:39.306000,0 days 00:00:45.248000,0 days 00:00:25.572000,0 days 02:33:51.910000,0 days 02:34:37.158000,0 days 02:35:02.730000,202.0,217.0,320.0,320.0,False,HARD,31.0,True,Williams,0 days 02:33:12.603000,,1,15.0,,,False,True
0 days 02:36:52.957000,LAT,6,0 days 00:01:50.228000,49.0,3.0,,,0 days 00:00:39.385000,0 days 00:00:45.227000,0 days 00:00:25.616000,0 days 02:35:42.115000,0 days 02:36:27.342000,0 days 02:36:52.958000,196.0,210.0,322.0,319.0,False,HARD,32.0,True,Williams,0 days 02:35:02.729000,,1,15.0,,,False,True
0 days 02:38:43.203000,LAT,6,0 days 00:01:50.246000,50.0,3.0,,,0 days 00:00:39.427000,0 days 00:00:45.236000,0 days 00:00:25.583000,0 days 02:37:32.385000,0 days 02:38:17.621000,0 days 02:38:43.204000,196.0,208.0,323.0,319.0,False,HARD,33.0,True,Williams,0 days 02:36:52.957000,,12,15.0,,,False,True
0 days 01:04:52.186000,RUS,63,0 days 00:01:55.452000,1.0,1.0,,,,0 days 00:00:44.930000,0 days 00:00:26.043000,,0 days 01:04:26.246000,0 days 01:04:52.304000,193.0,215.0,312.0,311.0,False,MEDIUM,1.0,True,Mercedes,0 days 01:02:56.466000,,1,5.0,,,False,False
0 days 01:06:41.758000,RUS,63,0 days 00:01:49.572000,2.0,1.0,,,0 days 00:00:39.397000,0 days 00:00:44.259000,0 days 00:00:25.916000,0 days 01:05:31.620000,0 days 01:06:15.879000,0 days 01:06:41.795000,200.0,213.0,308.0,311.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:04:52.186000,,1,5.0,,,False,True
0 days 01:08:31.472000,RUS,63,0 days 00:01:49.714000,3.0,1.0,,,0 days 00:00:39.147000,0 days 00:00:44.485000,0 days 00:00:26.082000,0 days 01:07:20.942000,0 days 01:08:05.427000,0 days 01:08:31.509000,198.0,215.0,308.0,311.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:06:41.758000,,1,5.0,,,False,True
0 days 01:10:21.348000,RUS,63,0 days 00:01:49.876000,4.0,1.0,,,0 days 00:00:39.168000,0 days 00:00:44.589000,0 days 00:00:26.119000,0 days 01:09:10.677000,0 days 01:09:55.266000,0 days 01:10:21.385000,202.0,210.0,305.0,310.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:08:31.472000,,1,5.0,,,False,True
0 days 01:12:11.172000,RUS,63,0 days 00:01:49.824000,5.0,1.0,,,0 days 00:00:39.149000,0 days 00:00:44.554000,0 days 00:00:26.121000,0 days 01:11:00.534000,0 days 01:11:45.088000,0 days 01:12:11.209000,199.0,210.0,307.0,309.0,False,MEDIUM,5.0,True,Mercedes,0 days 01:10:21.348000,,1,5.0,,,False,True
0 days 01:14:00.795000,RUS,63,0 days 00:01:49.623000,6.0,1.0,,,0 days 00:00:38.998000,0 days 00:00:44.548000,0 days 00:00:26.077000,0 days 01:12:50.207000,0 days 01:13:34.755000,0 days 01:14:00.832000,203.0,208.0,306.0,309.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:12:11.172000,,1,5.0,,,False,True
