Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:20:17.415000,LEC,16,0 days 00:01:42.762000,25.0,2.0,,,0 days 00:00:17.936000,0 days 00:00:43.522000,0 days 00:00:41.304000,0 days 01:18:52.617000,0 days 01:19:36.139000,0 days 01:20:17.443000,276.0,293.0,212.0,295.0,False,HARD,3.0,True,Ferrari,0 days 01:18:34.653000,,1,19.0,,,False,True
0 days 01:22:00.515000,LEC,16,0 days 00:01:43.100000,26.0,2.0,,,0 days 00:00:18.012000,0 days 00:00:43.784000,0 days 00:00:41.304000,0 days 01:20:35.455000,0 days 01:21:19.239000,0 days 01:22:00.543000,279.0,296.0,216.0,316.0,False,HARD,4.0,True,Ferrari,0 days 01:20:17.415000,,1,18.0,,,False,True
0 days 01:23:42.743000,LEC,16,0 days 00:01:42.228000,27.0,2.0,,,0 days 00:00:17.867000,0 days 00:00:43.146000,0 days 00:00:41.215000,0 days 01:22:18.410000,0 days 01:23:01.556000,0 days 01:23:42.771000,282.0,310.0,216.0,316.0,False,HARD,5.0,True,Ferrari,0 days 01:22:00.515000,,1,15.0,,,False,True
0 days 01:25:25.273000,LEC,16,0 days 00:01:42.530000,28.0,2.0,,,0 days 00:00:17.927000,0 days 00:00:43.959000,0 days 00:00:40.644000,0 days 01:24:00.698000,0 days 01:24:44.657000,0 days 01:25:25.301000,277.0,291.0,216.0,291.0,False,HARD,6.0,True,Ferrari,0 days 01:23:42.743000,,1,15.0,,,False,True
0 days 01:27:07.934000,LEC,16,0 days 00:01:42.661000,29.0,2.0,,,0 days 00:00:17.842000,0 days 00:00:43.921000,0 days 00:00:40.898000,0 days 01:25:43.143000,0 days 01:26:27.064000,0 days 01:27:07.962000,277.0,291.0,216.0,291.0,False,HARD,7.0,True,Ferrari,0 days 01:25:25.273000,,1,15.0,,,False,True
0 days 01:28:50.620000,LEC,16,0 days 00:01:42.686000,30.0,2.0,,,0 days 00:00:17.916000,0 days 00:00:43.997000,0 days 00:00:40.773000,0 days 01:27:25.878000,0 days 01:28:09.875000,0 days 01:28:50.648000,278.0,291.0,214.0,292.0,False,HARD,8.0,True,Ferrari,0 days 01:27:07.934000,,1,15.0,,,False,True
0 days 01:30:33.893000,LEC,16,0 days 00:01:43.273000,31.0,2.0,,,0 days 00:00:17.934000,0 days 00:00:43.923000,0 days 00:00:41.416000,0 days 01:29:08.582000,0 days 01:29:52.505000,0 days 01:30:33.921000,278.0,294.0,217.0,295.0,False,HARD,9.0,True,Ferrari,0 days 01:28:50.620000,,1,15.0,,,False,True
0 days 01:32:16.747000,LEC,16,0 days 00:01:42.854000,32.0,2.0,,,0 days 00:00:17.827000,0 days 00:00:43.817000,0 days 00:00:41.210000,0 days 01:30:51.748000,0 days 01:31:35.565000,0 days 01:32:16.775000,280.0,297.0,216.0,299.0,False,HARD,10.0,True,Ferrari,0 days 01:30:33.893000,,1,15.0,,,False,True
0 days 01:34:00.740000,LEC,16,0 days 00:01:43.993000,33.0,2.0,,,0 days 00:00:17.839000,0 days 00:00:43.294000,0 days 00:00:42.860000,0 days 01:32:34.614000,0 days 01:33:17.908000,0 days 01:34:00.768000,281.0,308.0,214.0,322.0,False,HARD,11.0,True,Ferrari,0 days 01:32:16.747000,,1,15.0,,,False,True
0 days 01:35:43.831000,LEC,16,0 days 00:01:43.091000,34.0,2.0,,,0 days 00:00:17.909000,0 days 00:00:43.814000,0 days 00:00:41.368000,0 days 01:34:18.677000,0 days 01:35:02.491000,0 days 01:35:43.859000,285.0,294.0,216.0,323.0,False,HARD,12.0,True,Ferrari,0 days 01:34:00.740000,,1,14.0,,,False,True
0 days 01:37:26.255000,LEC,16,0 days 00:01:42.424000,35.0,2.0,,,0 days 00:00:17.891000,0 days 00:00:43.864000,0 days 00:00:40.669000,0 days 01:36:01.750000,0 days 01:36:45.614000,0 days 01:37:26.283000,276.0,291.0,216.0,292.0,False,HARD,13.0,True,Ferrari,0 days 01:35:43.831000,,1,14.0,,,False,True
0 days 01:39:08.792000,LEC,16,0 days 00:01:42.537000,36.0,2.0,,,0 days 00:00:17.855000,0 days 00:00:43.931000,0 days 00:00:40.751000,0 days 01:37:44.138000,0 days 01:38:28.069000,0 days 01:39:08.820000,278.0,293.0,216.0,295.0,False,HARD,14.0,True,Ferrari,0 days 01:37:26.255000,,1,13.0,,,False,True
0 days 01:40:51.752000,LEC,16,0 days 00:01:42.960000,37.0,2.0,,,0 days 00:00:17.981000,0 days 00:00:43.937000,0 days 00:00:41.042000,0 days 01:39:26.801000,0 days 01:40:10.738000,0 days 01:40:51.780000,277.0,295.0,217.0,298.0,False,HARD,15.0,True,Ferrari,0 days 01:39:08.792000,,1,13.0,,,False,True
0 days 01:42:35.026000,LEC,16,0 days 00:01:43.274000,38.0,2.0,,,0 days 00:00:17.838000,0 days 00:00:43.390000,0 days 00:00:42.046000,0 days 01:41:09.618000,0 days 01:41:53.008000,0 days 01:42:35.054000,282.0,296.0,218.0,315.0,False,HARD,16.0,True,Ferrari,0 days 01:40:51.752000,,1,13.0,,,False,True
0 days 01:44:18.221000,LEC,16,0 days 00:01:43.195000,39.0,2.0,,,0 days 00:00:17.920000,0 days 00:00:43.556000,0 days 00:00:41.719000,0 days 01:42:52.974000,0 days 01:43:36.530000,0 days 01:44:18.249000,280.0,305.0,217.0,311.0,False,HARD,17.0,True,Ferrari,0 days 01:42:35.026000,,1,13.0,,,False,True
0 days 01:46:02.053000,LEC,16,0 days 00:01:43.832000,40.0,2.0,,,0 days 00:00:17.906000,0 days 00:00:43.443000,0 days 00:00:42.483000,0 days 01:44:36.155000,0 days 01:45:19.598000,0 days 01:46:02.081000,279.0,320.0,217.0,320.0,False,HARD,18.0,True,Ferrari,0 days 01:44:18.221000,,1,13.0,,,False,True
0 days 01:47:45.200000,LEC,16,0 days 00:01:43.147000,41.0,2.0,,,0 days 00:00:17.896000,0 days 00:00:43.446000,0 days 00:00:41.805000,0 days 01:46:19.977000,0 days 01:47:03.423000,0 days 01:47:45.228000,278.0,306.0,215.0,309.0,False,HARD,19.0,True,Ferrari,0 days 01:46:02.053000,,1,13.0,,,False,True
0 days 01:49:28.358000,LEC,16,0 days 00:01:43.158000,42.0,2.0,,,0 days 00:00:17.922000,0 days 00:00:43.747000,0 days 00:00:41.489000,0 days 01:48:03.150000,0 days 01:48:46.897000,0 days 01:49:28.386000,280.0,305.0,216.0,312.0,False,HARD,20.0,True,Ferrari,0 days 01:47:45.200000,,1,13.0,,,False,True
0 days 01:51:11.446000,LEC,16,0 days 00:01:43.088000,43.0,2.0,,,0 days 00:00:17.891000,0 days 00:00:43.490000,0 days 00:00:41.707000,0 days 01:49:46.277000,0 days 01:50:29.767000,0 days 01:51:11.474000,283.0,308.0,218.0,316.0,False,HARD,21.0,True,Ferrari,0 days 01:49:28.358000,,1,13.0,,,False,True
0 days 01:52:54.242000,LEC,16,0 days 00:01:42.796000,44.0,2.0,,,0 days 00:00:17.870000,0 days 00:00:43.346000,0 days 00:00:41.580000,0 days 01:51:29.344000,0 days 01:52:12.690000,0 days 01:52:54.270000,283.0,312.0,218.0,318.0,False,HARD,22.0,True,Ferrari,0 days 01:51:11.446000,,1,13.0,,,False,True
0 days 01:54:37.067000,LEC,16,0 days 00:01:42.825000,45.0,2.0,,,0 days 00:00:17.831000,0 days 00:00:43.678000,0 days 00:00:41.316000,0 days 01:53:12.101000,0 days 01:53:55.779000,0 days 01:54:37.095000,285.0,312.0,215.0,318.0,False,HARD,23.0,True,Ferrari,0 days 01:52:54.242000,,1,13.0,,,False,True
0 days 01:56:20.327000,LEC,16,0 days 00:01:43.260000,46.0,2.0,,,0 days 00:00:17.902000,0 days 00:00:44.080000,0 days 00:00:41.278000,0 days 01:54:54.997000,0 days 01:55:39.077000,0 days 01:56:20.355000,282.0,294.0,216.0,296.0,False,HARD,24.0,True,Ferrari,0 days 01:54:37.067000,,1,13.0,,,False,True
0 days 01:58:03.104000,LEC,16,0 days 00:01:42.777000,47.0,2.0,,,0 days 00:00:17.776000,0 days 00:00:43.984000,0 days 00:00:41.017000,0 days 01:56:38.131000,0 days 01:57:22.115000,0 days 01:58:03.132000,281.0,295.0,218.0,297.0,False,HARD,25.0,True,Ferrari,0 days 01:56:20.327000,,1,13.0,,,False,True
0 days 01:59:48.471000,LEC,16,0 days 00:01:45.367000,48.0,2.0,,,0 days 00:00:17.793000,0 days 00:00:43.963000,0 days 00:00:43.611000,0 days 01:58:20.925000,0 days 01:59:04.888000,0 days 01:59:48.499000,284.0,296.0,216.0,297.0,False,HARD,26.0,True,Ferrari,0 days 01:58:03.104000,,1,13.0,,,False,True
0 days 02:01:31.597000,LEC,16,0 days 00:01:43.126000,49.0,2.0,,,0 days 00:00:17.802000,0 days 00:00:43.988000,0 days 00:00:41.336000,0 days 02:00:06.301000,0 days 02:00:50.289000,0 days 02:01:31.625000,285.0,297.0,219.0,299.0,False,HARD,27.0,True,Ferrari,0 days 01:59:48.471000,,1,13.0,,,False,True
0 days 02:03:14.542000,LEC,16,0 days 00:01:42.945000,50.0,2.0,,,0 days 00:00:17.822000,0 days 00:00:43.999000,0 days 00:00:41.124000,0 days 02:01:49.447000,0 days 02:02:33.446000,0 days 02:03:14.570000,281.0,296.0,219.0,296.0,False,HARD,28.0,True,Ferrari,0 days 02:01:31.597000,,1,13.0,,,False,True
0 days 02:04:57.535000,LEC,16,0 days 00:01:42.993000,51.0,2.0,,,0 days 00:00:17.830000,0 days 00:00:43.954000,0 days 00:00:41.209000,0 days 02:03:32.400000,0 days 02:04:16.354000,0 days 02:04:57.563000,281.0,296.0,220.0,295.0,False,HARD,29.0,True,Ferrari,0 days 02:03:14.542000,,1,13.0,,,False,True
0 days 02:06:40.655000,LEC,16,0 days 00:01:43.120000,52.0,2.0,,,0 days 00:00:17.841000,0 days 00:00:44,0 days 00:00:41.279000,0 days 02:05:15.404000,0 days 02:05:59.404000,0 days 02:06:40.683000,282.0,295.0,217.0,296.0,False,HARD,30.0,True,Ferrari,0 days 02:04:57.535000,,1,13.0,,,False,True
0 days 02:08:27.020000,LEC,16,0 days 00:01:46.365000,53.0,2.0,,,0 days 00:00:17.883000,0 days 00:00:44.065000,0 days 00:00:44.417000,0 days 02:06:58.566000,0 days 02:07:42.631000,0 days 02:08:27.048000,281.0,294.0,220.0,295.0,False,HARD,31.0,True,Ferrari,0 days 02:06:40.655000,,1,13.0,,,False,True
0 days 02:10:11.484000,LEC,16,0 days 00:01:44.464000,54.0,2.0,,,0 days 00:00:17.999000,0 days 00:00:44.120000,0 days 00:00:42.345000,0 days 02:08:45.047000,0 days 02:09:29.167000,0 days 02:10:11.512000,282.0,295.0,215.0,297.0,False,HARD,32.0,True,Ferrari,0 days 02:08:27.020000,,1,13.0,,,False,True
0 days 00:35:19.918000,STR,18,0 days 00:01:51.155000,1.0,1.0,,,,0 days 00:00:45.673000,0 days 00:00:42.924000,,0 days 00:34:37.063000,0 days 00:35:20.125000,266.0,264.0,216.0,293.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:28.601000,,1,8.0,,,False,False
0 days 00:37:05.129000,STR,18,0 days 00:01:45.211000,2.0,1.0,,,0 days 00:00:18.401000,0 days 00:00:44.603000,0 days 00:00:42.207000,0 days 00:35:38.383000,0 days 00:36:22.986000,0 days 00:37:05.193000,273.0,280.0,215.0,291.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:19.918000,,1,8.0,,,False,True
0 days 00:38:49.723000,STR,18,0 days 00:01:44.594000,3.0,1.0,,,0 days 00:00:18.402000,0 days 00:00:44.532000,0 days 00:00:41.660000,0 days 00:37:23.595000,0 days 00:38:08.127000,0 days 00:38:49.787000,270.0,281.0,215.0,295.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:05.129000,,1,8.0,,,False,True
0 days 00:40:34.178000,STR,18,0 days 00:01:44.455000,4.0,1.0,,,0 days 00:00:18.300000,0 days 00:00:44.369000,0 days 00:00:41.786000,0 days 00:39:08.087000,0 days 00:39:52.456000,0 days 00:40:34.242000,271.0,281.0,212.0,295.0,True,SOFT,7.0,False,Racing Point,0 days 00:38:49.723000,,1,8.0,,,False,True
0 days 00:42:18.790000,STR,18,0 days 00:01:44.612000,5.0,1.0,,,0 days 00:00:18.177000,0 days 00:00:44.625000,0 days 00:00:41.810000,0 days 00:40:52.419000,0 days 00:41:37.044000,0 days 00:42:18.854000,274.0,284.0,213.0,297.0,False,SOFT,8.0,False,Racing Point,0 days 00:40:34.178000,,1,8.0,,,False,True
0 days 00:44:03.480000,STR,18,0 days 00:01:44.690000,6.0,1.0,,,0 days 00:00:18.189000,0 days 00:00:44.286000,0 days 00:00:42.215000,0 days 00:42:37.043000,0 days 00:43:21.329000,0 days 00:44:03.544000,273.0,295.0,211.0,299.0,False,SOFT,9.0,False,Racing Point,0 days 00:42:18.790000,,1,8.0,,,False,True
0 days 00:45:48.104000,STR,18,0 days 00:01:44.624000,7.0,1.0,,,0 days 00:00:18.101000,0 days 00:00:44.258000,0 days 00:00:42.265000,0 days 00:44:21.645000,0 days 00:45:05.903000,0 days 00:45:48.168000,277.0,302.0,213.0,298.0,False,SOFT,10.0,False,Racing Point,0 days 00:44:03.480000,,1,8.0,,,False,True
0 days 00:47:32.500000,STR,18,0 days 00:01:44.396000,8.0,1.0,,,0 days 00:00:18.098000,0 days 00:00:44.115000,0 days 00:00:42.183000,0 days 00:46:06.266000,0 days 00:46:50.381000,0 days 00:47:32.564000,276.0,293.0,213.0,327.0,True,SOFT,11.0,False,Racing Point,0 days 00:45:48.104000,,1,7.0,,,False,True
0 days 00:49:17.065000,STR,18,0 days 00:01:44.565000,9.0,1.0,,,0 days 00:00:18.125000,0 days 00:00:44.697000,0 days 00:00:41.743000,0 days 00:47:50.689000,0 days 00:48:35.386000,0 days 00:49:17.129000,270.0,281.0,213.0,291.0,False,SOFT,12.0,False,Racing Point,0 days 00:47:32.500000,,1,7.0,,,False,True
0 days 00:51:31.526000,STR,18,0 days 00:02:14.461000,10.0,1.0,,0 days 00:51:30.503000,0 days 00:00:18.183000,0 days 00:01:00.876000,0 days 00:00:55.402000,0 days 00:49:35.312000,0 days 00:50:36.188000,0 days 00:51:31.590000,272.0,183.0,,184.0,False,SOFT,13.0,False,Racing Point,0 days 00:49:17.065000,,126,7.0,,,False,False
0 days 00:54:10.794000,STR,18,,11.0,2.0,0 days 00:51:52.855000,,0 days 00:00:43.417000,0 days 00:00:57.222000,0 days 00:00:58.647000,0 days 00:52:15.021000,0 days 00:53:12.229000,0 days 00:54:10.982000,189.0,151.0,168.0,162.0,False,HARD,1.0,True,Racing Point,0 days 00:51:31.526000,,64,10.0,,,False,False
0 days 00:56:34.109000,STR,18,0 days 00:02:23.315000,12.0,2.0,,,0 days 00:00:25.607000,0 days 00:01:01.824000,0 days 00:00:55.884000,0 days 00:54:36.465000,0 days 00:55:38.289000,0 days 00:56:34.173000,192.0,198.0,129.0,199.0,False,HARD,2.0,True,Racing Point,0 days 00:54:10.794000,,4,10.0,,,False,False
