Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:57:48.652000,SAI,55,0 days 00:01:24.623000,39.0,2.0,,,0 days 00:00:30.151000,0 days 00:00:30.620000,0 days 00:00:23.852000,0 days 01:56:54.235000,0 days 01:57:24.855000,0 days 01:57:48.707000,277.0,233.0,245.0,281.0,False,MEDIUM,22.0,True,Ferrari,0 days 01:56:24.029000,,1,2.0,,,False,True
0 days 01:59:12.742000,SAI,55,0 days 00:01:24.090000,40.0,2.0,,,0 days 00:00:29.955000,0 days 00:00:30.400000,0 days 00:00:23.735000,0 days 01:58:18.662000,0 days 01:58:49.062000,0 days 01:59:12.797000,275.0,235.0,242.0,281.0,False,MEDIUM,23.0,True,Ferrari,0 days 01:57:48.652000,,1,1.0,,,False,True
0 days 02:00:36.637000,SAI,55,0 days 00:01:23.895000,41.0,2.0,,,0 days 00:00:29.992000,0 days 00:00:30.229000,0 days 00:00:23.674000,0 days 01:59:42.789000,0 days 02:00:13.018000,0 days 02:00:36.692000,276.0,238.0,243.0,277.0,False,MEDIUM,24.0,True,Ferrari,0 days 01:59:12.742000,,1,1.0,,,False,True
0 days 02:02:01.129000,SAI,55,0 days 00:01:24.492000,42.0,2.0,,,0 days 00:00:30.174000,0 days 00:00:30.541000,0 days 00:00:23.777000,0 days 02:01:06.866000,0 days 02:01:37.407000,0 days 02:02:01.184000,276.0,239.0,247.0,280.0,False,MEDIUM,25.0,True,Ferrari,0 days 02:00:36.637000,,12,1.0,,,False,True
0 days 02:03:24.750000,SAI,55,0 days 00:01:23.621000,43.0,2.0,,,0 days 00:00:29.641000,0 days 00:00:30.265000,0 days 00:00:23.715000,0 days 02:02:30.825000,0 days 02:03:01.090000,0 days 02:03:24.805000,274.0,236.0,241.0,291.0,False,MEDIUM,26.0,True,Ferrari,0 days 02:02:01.129000,,1,1.0,,,False,True
0 days 02:04:48.934000,SAI,55,0 days 00:01:24.184000,44.0,2.0,,,0 days 00:00:30.037000,0 days 00:00:30.344000,0 days 00:00:23.803000,0 days 02:03:54.842000,0 days 02:04:25.186000,0 days 02:04:48.989000,275.0,238.0,245.0,277.0,False,MEDIUM,27.0,True,Ferrari,0 days 02:03:24.750000,,1,1.0,,,False,True
0 days 02:06:13.178000,SAI,55,0 days 00:01:24.244000,45.0,2.0,,,0 days 00:00:30.057000,0 days 00:00:30.454000,0 days 00:00:23.733000,0 days 02:05:19.046000,0 days 02:05:49.500000,0 days 02:06:13.233000,272.0,233.0,242.0,281.0,False,MEDIUM,28.0,True,Ferrari,0 days 02:04:48.934000,,1,1.0,,,False,True
0 days 02:07:37.467000,SAI,55,0 days 00:01:24.289000,46.0,2.0,,,0 days 00:00:30.089000,0 days 00:00:30.570000,0 days 00:00:23.630000,0 days 02:06:43.322000,0 days 02:07:13.892000,0 days 02:07:37.522000,275.0,235.0,243.0,279.0,False,MEDIUM,29.0,True,Ferrari,0 days 02:06:13.178000,,1,1.0,,,False,True
0 days 02:09:04.099000,SAI,55,0 days 00:01:26.632000,47.0,2.0,,0 days 02:09:02.420000,0 days 00:00:29.977000,0 days 00:00:30.571000,0 days 00:00:26.084000,0 days 02:08:07.499000,0 days 02:08:38.070000,0 days 02:09:04.154000,276.0,233.0,,280.0,False,MEDIUM,30.0,True,Ferrari,0 days 02:07:37.467000,,1,2.0,,,False,False
0 days 02:10:47.235000,SAI,55,0 days 00:01:43.136000,48.0,3.0,0 days 02:09:25.863000,,0 days 00:00:49.865000,0 days 00:00:29.934000,0 days 00:00:23.337000,0 days 02:09:54.019000,0 days 02:10:23.953000,0 days 02:10:47.290000,274.0,240.0,245.0,280.0,False,SOFT,4.0,False,Ferrari,0 days 02:09:04.099000,,12,5.0,,,False,False
