Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:08:03.720000,GAS,10,0 days 00:01:20.158000,1.0,,,,,0 days 00:00:34.389000,0 days 00:00:23.283000,,0 days 00:07:40.460000,0 days 00:08:03.822000,304.0,215.0,272.0,297.0,False,nan,,True,Toro Rosso,0 days 00:06:43.395000,,,15.0,,,False,False
0 days 00:09:16.779000,GAS,10,0 days 00:01:13.059000,2.0,1.0,,,0 days 00:00:17.521000,0 days 00:00:33.053000,0 days 00:00:22.485000,0 days 00:08:21.241000,0 days 00:08:54.294000,0 days 00:09:16.779000,306.0,214.0,271.0,290.0,True,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:08:03.720000,,21,14.0,,,False,True
0 days 00:10:28.223000,GAS,10,0 days 00:01:11.444000,3.0,1.0,,,0 days 00:00:17.443000,0 days 00:00:31.545000,0 days 00:00:22.456000,0 days 00:09:34.222000,0 days 00:10:05.767000,0 days 00:10:28.223000,314.0,224.0,278.0,308.0,True,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:09:16.779000,,1,14.0,,,False,True
0 days 00:11:39.388000,GAS,10,0 days 00:01:11.165000,4.0,1.0,,,0 days 00:00:17.161000,0 days 00:00:31.737000,0 days 00:00:22.267000,0 days 00:10:45.384000,0 days 00:11:17.121000,0 days 00:11:39.388000,316.0,227.0,279.0,309.0,True,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:10:28.223000,,1,14.0,,,False,True
0 days 00:12:51.796000,GAS,10,0 days 00:01:12.408000,5.0,1.0,,,0 days 00:00:17.333000,0 days 00:00:31.559000,0 days 00:00:23.516000,0 days 00:11:56.721000,0 days 00:12:28.280000,0 days 00:12:51.796000,310.0,228.0,256.0,303.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 00:11:39.388000,,1,15.0,,,False,True
0 days 00:14:04.137000,GAS,10,0 days 00:01:12.341000,6.0,1.0,,,0 days 00:00:18.014000,0 days 00:00:32.137000,0 days 00:00:22.190000,0 days 00:13:09.810000,0 days 00:13:41.947000,0 days 00:14:04.137000,311.0,227.0,276.0,306.0,False,SUPERSOFT,5.0,True,Toro Rosso,0 days 00:12:51.796000,,1,15.0,,,False,True
0 days 00:15:15.151000,GAS,10,0 days 00:01:11.014000,7.0,1.0,,,0 days 00:00:17.401000,0 days 00:00:31.543000,0 days 00:00:22.070000,0 days 00:14:21.538000,0 days 00:14:53.081000,0 days 00:15:15.151000,311.0,229.0,277.0,306.0,True,SUPERSOFT,6.0,True,Toro Rosso,0 days 00:14:04.137000,,1,15.0,,,False,True
0 days 00:16:26.441000,GAS,10,0 days 00:01:11.290000,8.0,1.0,,,0 days 00:00:17.577000,0 days 00:00:31.645000,0 days 00:00:22.068000,0 days 00:15:32.728000,0 days 00:16:04.373000,0 days 00:16:26.441000,309.0,228.0,279.0,307.0,False,SUPERSOFT,7.0,True,Toro Rosso,0 days 00:15:15.151000,,1,15.0,,,False,True
0 days 00:17:38.177000,GAS,10,0 days 00:01:11.736000,9.0,1.0,,,0 days 00:00:17.548000,0 days 00:00:32.140000,0 days 00:00:22.048000,0 days 00:16:43.989000,0 days 00:17:16.129000,0 days 00:17:38.177000,323.0,225.0,277.0,301.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 00:16:26.441000,,1,15.0,,,False,True
0 days 00:18:49.346000,GAS,10,0 days 00:01:11.169000,10.0,1.0,,,0 days 00:00:17.453000,0 days 00:00:31.695000,0 days 00:00:22.021000,0 days 00:17:55.630000,0 days 00:18:27.325000,0 days 00:18:49.346000,315.0,223.0,278.0,302.0,False,SUPERSOFT,9.0,True,Toro Rosso,0 days 00:17:38.177000,,1,15.0,,,False,True
0 days 00:20:00.248000,GAS,10,0 days 00:01:10.902000,11.0,1.0,,,0 days 00:00:17.472000,0 days 00:00:31.442000,0 days 00:00:21.988000,0 days 00:19:06.818000,0 days 00:19:38.260000,0 days 00:20:00.248000,306.0,227.0,279.0,302.0,True,SUPERSOFT,10.0,True,Toro Rosso,0 days 00:18:49.346000,,1,15.0,,,False,True
0 days 00:21:11.606000,GAS,10,0 days 00:01:11.358000,12.0,1.0,,,0 days 00:00:18.045000,0 days 00:00:31.437000,0 days 00:00:21.876000,0 days 00:20:18.293000,0 days 00:20:49.730000,0 days 00:21:11.606000,320.0,223.0,272.0,310.0,False,SUPERSOFT,11.0,True,Toro Rosso,0 days 00:20:00.248000,,12,13.0,,,False,True
0 days 00:22:22.433000,GAS,10,0 days 00:01:10.827000,13.0,1.0,,,0 days 00:00:17.695000,0 days 00:00:31.347000,0 days 00:00:21.785000,0 days 00:21:29.301000,0 days 00:22:00.648000,0 days 00:22:22.433000,292.0,222.0,270.0,286.0,True,SUPERSOFT,12.0,True,Toro Rosso,0 days 00:21:11.606000,,1,13.0,,,False,True
0 days 00:23:37.583000,GAS,10,0 days 00:01:15.150000,14.0,1.0,,,0 days 00:00:17.679000,0 days 00:00:31.094000,0 days 00:00:26.377000,0 days 00:22:40.112000,0 days 00:23:11.206000,0 days 00:23:37.583000,290.0,228.0,215.0,287.0,False,SUPERSOFT,13.0,True,Toro Rosso,0 days 00:22:22.433000,,126,12.0,,,False,False
