Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:00:05.863000,HUL,27,0 days 00:01:33.015000,36.0,2.0,,,0 days 00:00:34.214000,0 days 00:00:29.216000,0 days 00:00:29.585000,0 days 01:59:07.128000,0 days 01:59:36.344000,0 days 02:00:05.929000,286.0,302.0,295.0,308.0,True,HARD,3.0,True,Haas F1 Team,0 days 01:58:32.848000,,1,11.0,,,False,True
0 days 02:01:39.111000,HUL,27,0 days 00:01:33.248000,37.0,2.0,,,0 days 00:00:34.457000,0 days 00:00:29.250000,0 days 00:00:29.541000,0 days 02:00:40.386000,0 days 02:01:09.636000,0 days 02:01:39.177000,288.0,302.0,295.0,308.0,False,HARD,4.0,True,Haas F1 Team,0 days 02:00:05.863000,,1,11.0,,,False,True
0 days 02:03:12.264000,HUL,27,0 days 00:01:33.153000,38.0,2.0,,,0 days 00:00:34.298000,0 days 00:00:29.309000,0 days 00:00:29.546000,0 days 02:02:13.475000,0 days 02:02:42.784000,0 days 02:03:12.330000,287.0,301.0,295.0,307.0,False,HARD,5.0,True,Haas F1 Team,0 days 02:01:39.111000,,1,11.0,,,False,True
0 days 02:04:45.309000,HUL,27,0 days 00:01:33.045000,39.0,2.0,,,0 days 00:00:34.246000,0 days 00:00:29.260000,0 days 00:00:29.539000,0 days 02:03:46.576000,0 days 02:04:15.836000,0 days 02:04:45.375000,288.0,302.0,294.0,308.0,False,HARD,6.0,True,Haas F1 Team,0 days 02:03:12.264000,,1,11.0,,,False,True
0 days 02:06:18.241000,HUL,27,0 days 00:01:32.932000,40.0,2.0,,,0 days 00:00:34.275000,0 days 00:00:29.180000,0 days 00:00:29.477000,0 days 02:05:19.650000,0 days 02:05:48.830000,0 days 02:06:18.307000,288.0,302.0,295.0,308.0,True,HARD,7.0,True,Haas F1 Team,0 days 02:04:45.309000,,1,11.0,,,False,True
0 days 02:07:51.081000,HUL,27,0 days 00:01:32.840000,41.0,2.0,,,0 days 00:00:34.206000,0 days 00:00:29.150000,0 days 00:00:29.484000,0 days 02:06:52.513000,0 days 02:07:21.663000,0 days 02:07:51.147000,289.0,303.0,294.0,309.0,True,HARD,8.0,True,Haas F1 Team,0 days 02:06:18.241000,,1,11.0,,,False,True
0 days 02:09:23.673000,HUL,27,0 days 00:01:32.592000,42.0,2.0,,,0 days 00:00:34.091000,0 days 00:00:29.110000,0 days 00:00:29.391000,0 days 02:08:25.238000,0 days 02:08:54.348000,0 days 02:09:23.739000,289.0,301.0,294.0,308.0,True,HARD,9.0,True,Haas F1 Team,0 days 02:07:51.081000,,1,10.0,,,False,True
0 days 02:10:56.425000,HUL,27,0 days 00:01:32.752000,43.0,2.0,,,0 days 00:00:34.046000,0 days 00:00:29.121000,0 days 00:00:29.585000,0 days 02:09:57.785000,0 days 02:10:26.906000,0 days 02:10:56.491000,288.0,300.0,294.0,306.0,False,HARD,10.0,True,Haas F1 Team,0 days 02:09:23.673000,,1,10.0,,,False,True
0 days 02:12:29.061000,HUL,27,0 days 00:01:32.636000,44.0,2.0,,,0 days 00:00:34.039000,0 days 00:00:29.187000,0 days 00:00:29.410000,0 days 02:11:30.530000,0 days 02:11:59.717000,0 days 02:12:29.127000,288.0,298.0,295.0,306.0,False,HARD,11.0,True,Haas F1 Team,0 days 02:10:56.425000,,1,10.0,,,False,True
0 days 02:14:01.554000,HUL,27,0 days 00:01:32.493000,45.0,2.0,,,0 days 00:00:34.018000,0 days 00:00:29.048000,0 days 00:00:29.427000,0 days 02:13:03.145000,0 days 02:13:32.193000,0 days 02:14:01.620000,288.0,301.0,295.0,308.0,True,HARD,12.0,True,Haas F1 Team,0 days 02:12:29.061000,,1,10.0,,,False,True
0 days 02:15:33.984000,HUL,27,0 days 00:01:32.430000,46.0,2.0,,,0 days 00:00:33.923000,0 days 00:00:29.144000,0 days 00:00:29.363000,0 days 02:14:35.543000,0 days 02:15:04.687000,0 days 02:15:34.050000,288.0,299.0,295.0,305.0,True,HARD,13.0,True,Haas F1 Team,0 days 02:14:01.554000,,1,10.0,,,False,True
0 days 02:17:06.363000,HUL,27,0 days 00:01:32.379000,47.0,2.0,,,0 days 00:00:33.912000,0 days 00:00:28.976000,0 days 00:00:29.491000,0 days 02:16:07.962000,0 days 02:16:36.938000,0 days 02:17:06.429000,290.0,300.0,294.0,308.0,True,HARD,14.0,True,Haas F1 Team,0 days 02:15:33.984000,,1,10.0,,,False,True
0 days 02:18:38.883000,HUL,27,0 days 00:01:32.520000,48.0,2.0,,,0 days 00:00:34.149000,0 days 00:00:29.026000,0 days 00:00:29.345000,0 days 02:17:40.578000,0 days 02:18:09.604000,0 days 02:18:38.949000,288.0,303.0,295.0,308.0,False,HARD,15.0,True,Haas F1 Team,0 days 02:17:06.363000,,1,10.0,,,False,True
0 days 02:20:11.249000,HUL,27,0 days 00:01:32.366000,49.0,2.0,,,0 days 00:00:34.024000,0 days 00:00:29.035000,0 days 00:00:29.307000,0 days 02:19:12.973000,0 days 02:19:42.008000,0 days 02:20:11.315000,289.0,304.0,295.0,311.0,True,HARD,16.0,True,Haas F1 Team,0 days 02:18:38.883000,,1,10.0,,,False,True
0 days 02:21:44.330000,HUL,27,0 days 00:01:33.081000,50.0,2.0,,,0 days 00:00:34.241000,0 days 00:00:29.278000,0 days 00:00:29.562000,0 days 02:20:45.556000,0 days 02:21:14.834000,0 days 02:21:44.396000,287.0,300.0,294.0,307.0,False,HARD,17.0,True,Haas F1 Team,0 days 02:20:11.249000,,1,10.0,,,False,True
0 days 01:01:28.454000,RIC,3,0 days 00:01:44.329000,1.0,1.0,,,,0 days 00:00:30.970000,0 days 00:00:30.767000,,0 days 01:00:57.888000,0 days 01:01:28.725000,285.0,309.0,298.0,320.0,False,MEDIUM,1.0,True,RB,0 days 00:59:43.836000,,1,15.0,,,False,False
0 days 01:03:06.489000,RIC,3,0 days 00:01:38.035000,2.0,1.0,,,0 days 00:00:37.420000,0 days 00:00:30.467000,0 days 00:00:30.148000,0 days 01:02:05.903000,0 days 01:02:36.370000,0 days 01:03:06.518000,284.0,317.0,305.0,334.0,True,MEDIUM,2.0,True,RB,0 days 01:01:28.454000,,1,15.0,,,False,True
