Minisector,NOR,HAD,Fastest
0,322.7198438242229,322.7088282828283,NOR
1,331.95845251555556,334.69601850158733,HAD
2,335.92220395789474,335.95399117754386,HAD
3,181.88511458140587,195.12926659337867,HAD
4,141.77033442382694,123.57399804165456,NOR
5,270.63421040730094,265.4012436232748,NOR
6,303.45495280357864,302.6442361111111,NOR
7,313.88761947468674,317.53596154943153,HAD
8,275.9312683552841,263.1995946836711,NOR
9,156.20610623433706,146.37743360025837,NOR
10,231.11877475866874,220.91486655320628,NOR
11,235.38305004217577,230.8757550532702,NOR
12,210.55269320907064,205.68183128751062,NOR
13,273.7729083011142,274.78882928665536,HAD
14,308.4176959077937,310.1215198388439,HAD
15,317.5751653434921,324.3353436734157,HAD
16,275.8742781852923,254.1891830830769,NOR
17,222.46194869085045,224.29881325029433,HAD
18,279.8724390098392,282.88193650771564,HAD
19,309.8641573110809,313.18275066488997,HAD
20,323.20225667669604,324.78921568627453,HAD
21,310.85793554285715,291.32945752232604,NOR
22,224.89703304959014,213.7362926243348,NOR
23,270.51271071560444,271.865302751151,HAD
24,309.14449538037707,308.460620597595,NOR
25,316.35338218508616,,NOR
