Minisector,NOR,STR,Fastest
0,250.29362303624447,260.9417975697828,STR
1,119.13552116728233,127.29979744467609,STR
2,255.93482945494515,254.13046863737273,NOR
3,297.54214696707487,301.0203406363215,STR
4,297.80477116448776,301.03738017136584,STR
5,302.08203241342915,305.38365553066666,STR
6,307.10568527667886,311.42653843692307,STR
7,306.2550567843357,310.581253971074,STR
8,194.12725644310694,196.0298576153038,STR
9,189.481263823392,185.68491260769744,NOR
10,180.78127057675954,191.95993780786915,STR
11,162.88516833160753,161.58707266637657,NOR
12,244.6191889647291,247.45972880338687,STR
13,273.2008977690545,276.11326578233167,STR
14,277.204616132517,271.0644343257549,NOR
15,264.05854242180584,271.9680207893333,STR
16,181.42546969500452,176.13476242112554,NOR
17,182.13626341781475,183.3556261818008,STR
18,228.76080708659592,227.71064387559824,NOR
19,279.53614548364675,279.0648722949939,NOR
20,301.49217595692306,304.907758552236,STR
21,309.54938080370374,313.1498333135238,STR
22,309.05791664761904,312.7796646753253,STR
23,241.7353966373299,261.60129146291035,STR
24,104.66404779240848,106.024914726816,STR
25,216.5500032,216.80416533333334,STR
