Minisector,PER,STR,Fastest
0,298.4795303957672,294.47306807709094,PER
1,218.18214749308407,222.01189827675424,STR
2,227.50144571213676,230.43120338189715,STR
3,275.3559981000448,274.71839655251443,PER
4,238.18272908307694,245.48642710915752,STR
5,126.52202467885132,127.85999119536628,STR
6,209.77736893683812,211.54090272753197,STR
7,263.95528837056276,262.96838648838093,PER
8,256.59173814214876,247.41072933791247,PER
9,245.35851001109629,241.4027669854384,PER
10,280.03738544,275.7732094681905,PER
11,297.8673122278095,291.86807680961675,PER
12,306.74733106539685,301.5787834055053,PER
13,310.5075065312169,305.37267205182184,PER
14,307.6548723875969,304.57102960941177,PER
15,271.35701454343683,252.03190895304348,PER
16,246.46731538655217,246.21091970667004,PER
17,281.42944213333334,282.2678967651371,STR
18,289.6823234143319,294.3783273332067,STR
19,157.73270300993553,157.5046013333333,PER
20,207.40545727407593,208.93090979109553,STR
21,188.42272985708183,189.56440553584542,STR
22,140.28631277587914,145.54353696977202,STR
23,239.59714236720686,237.19497541789497,PER
24,285.71414856922803,281.35675132663954,PER
25,,293.2166670222222,STR
