Minisector,MSC,VET,Fastest
0,271.79488722962964,272.17829869555555,VET
1,291.7916885445614,287.98268904748613,MSC
2,289.7119448735773,288.54185892525254,MSC
3,174.75407791138073,184.36880956380952,VET
4,116.38875102791971,120.31025982179894,VET
5,233.27624604415985,232.71775520873328,MSC
6,278.31760466161137,274.4338513252131,MSC
7,289.0598064923906,284.90252131623845,MSC
8,174.2735422835471,178.3120759542984,VET
9,139.7265184952007,141.08794421377075,VET
10,245.90379766830313,243.36085227272727,MSC
11,283.0615505872132,282.2165803805629,MSC
12,287.38445109682664,296.06687427664696,VET
13,273.03791138302444,269.7213554481199,MSC
14,291.38252155197694,287.27743347918664,MSC
15,288.18552442096797,290.95597386328234,VET
16,242.2661847331217,236.13702973675214,MSC
17,220.477716467597,214.5149934293199,MSC
18,272.5845523285096,267.3804300045299,MSC
19,294.5668271432657,289.1198015941228,MSC
20,298.1896131809524,298.02642319653677,MSC
21,229.17807713173372,222.79512201080493,MSC
22,251.37590032156288,253.06902025567237,VET
23,131.72453153030403,136.3184437046399,VET
24,211.20613556285136,205.38239337939825,MSC
25,,254.0,VET
