Minisector,STR,NOR,Fastest
0,318.3669022898245,321.76982399337476,NOR
1,328.32298952469404,329.0450757575758,NOR
2,324.63456438787875,322.90634059130434,STR
3,199.12405117555446,187.1632206075188,STR
4,121.29095685790361,120.30816175625503,STR
5,267.1142180871739,265.18589810512447,STR
6,300.99427062222225,301.01761904761906,NOR
7,315.77471538881986,310.0494565101449,STR
8,291.37593367767164,270.6413580246913,STR
9,146.19877973861597,144.33001414279792,STR
10,225.63938513744102,217.38785475445846,STR
11,219.7262724798248,220.142578125,NOR
12,200.9000393270321,201.4356261912214,NOR
13,269.2721171785724,273.27097069597073,NOR
14,304.87269694409935,306.695951696603,NOR
15,316.56845664894996,314.13623188405796,STR
16,267.593362962963,254.58687739259804,STR
17,205.5177727678754,213.34817927170866,NOR
18,272.60936490421125,276.9523365652087,NOR
19,305.39148507826087,307.89094202898553,NOR
20,319.67686137596644,320.2963768115942,NOR
21,310.90572952315864,297.6799744232147,STR
22,210.42164123196903,211.70855472671178,NOR
23,262.9471723809524,269.1721907432907,NOR
24,301.5249841498183,304.9032608,NOR
