Minisector,LEC,GAS,Fastest
0,309.7921296,307.237037037037,LEC
1,233.2756047690807,237.9873196057971,GAS
2,130.9265816099562,135.86198038563356,GAS
3,216.81713777336805,217.26046598095238,GAS
4,264.98937551999995,264.9892449515673,LEC
5,297.3601814745833,289.29851183068786,LEC
6,318.31666800603796,304.4843137254902,LEC
7,287.6103052350877,285.2321744590089,LEC
8,177.94308008885727,171.08694432,LEC
9,237.80297233465993,236.76391304347825,LEC
10,275.57478107268173,273.5622807017544,LEC
11,271.8603058526316,262.4888888888889,LEC
12,212.0238846028091,197.78358024691357,LEC
13,129.30451593390367,131.8018306704762,GAS
14,120.51482856380197,121.29670800860042,GAS
15,162.7920419041483,171.98143939574672,GAS
16,125.23962208130547,120.30051412987014,LEC
17,228.42157219635592,221.53819729987916,LEC
18,188.40014662857143,192.53499143945578,GAS
19,155.38543596635122,151.3581601951125,LEC
20,244.1481611705628,244.90833333333333,GAS
21,276.12926469529367,276.57826600039743,GAS
22,292.0995056811639,293.45462957037034,GAS
23,300.5759261037037,303.0273109243697,GAS
24,304.96729801591715,307.9708553029433,GAS
25,,311.11854974789185,GAS
