Minisector,VET,LEC,Fastest
0,237.7417690810333,231.10433996645295,VET
1,286.99526535757576,281.25424764100933,VET
2,299.90884353741495,294.75971312638086,VET
3,305.6155410847494,299.70416659393936,VET
4,280.8042660713023,265.63970073827664,VET
5,169.65067222593183,168.69417989153183,VET
6,264.1051455366588,260.46866611559153,VET
7,284.7706440242424,281.0001983105064,VET
8,219.66172942562525,214.4655406692983,VET
9,219.9605235755102,216.14445702030395,VET
10,193.54259204582397,183.664006126976,VET
11,226.80531630344828,224.7293199633157,VET
12,208.52713475655963,201.66261201043812,VET
13,221.47033987699706,214.1845753444992,VET
14,230.82067919012346,217.60513045123153,VET
15,182.5308869573014,181.19646951296977,VET
16,249.15288467692307,248.6180541777778,VET
17,294.17611242102913,288.9577309533264,VET
18,310.61719296,304.429223169161,VET
19,308.042326235889,290.3466289460462,VET
20,130.0148198429421,129.18805293997463,VET
21,166.96654493440224,164.934710365449,VET
22,157.3028860147174,151.00648639543513,VET
23,209.46427622465808,202.68883057268047,VET
24,145.83221766991144,143.72218977452937,VET
25,,179.65,LEC
