Minisector,HAM,NOR,Fastest
0,295.86896189026714,288.61624158826885,HAM
1,316.7827540749996,301.13821212315656,HAM
2,327.1901318736842,305.67104165333336,HAM
3,332.7868055703704,306.8997512596223,HAM
4,267.3703571488635,252.4249757084886,HAM
5,194.98162710857144,193.70023443437924,HAM
6,255.89003591552793,258.1581784937098,NOR
7,269.3830037905067,279.19602286251,NOR
8,209.3684120538588,216.6001041524984,NOR
9,214.33996829782882,211.23964029729382,HAM
10,145.97801771950267,136.67105703198547,HAM
11,247.43428942697847,246.3158143971812,HAM
12,274.5325756121212,276.80638959438386,NOR
13,227.0657653961647,221.6395750090405,HAM
14,261.53473041490685,262.2002417366886,NOR
15,233.54188320548866,233.17850863288146,HAM
16,184.82122306666668,178.9013327056632,HAM
17,258.71578841036546,257.94017217630653,HAM
18,150.81065697746806,155.7839582552381,NOR
19,209.87829900013028,202.03172341247,HAM
20,268.9215364502165,271.9946817687374,NOR
21,286.0470882043402,290.7225154930066,NOR
22,167.11779121269842,165.33851430705982,HAM
23,186.784046198341,177.09868868641084,HAM
24,258.0049684273292,256.33583636929717,HAM
25,274.47083306666667,278.3687504,NOR
