Minisector,VET,HAM,Fastest
0,283.9738657323973,281.21194968426755,VET
1,250.3790418898472,237.0558426376534,VET
2,278.5099404077597,264.00688666929295,VET
3,301.091546407981,283.1936427216981,VET
4,124.61111327616167,132.6794031506287,HAM
5,208.26454892492805,206.072412234996,VET
6,275.143424358255,265.7150377784461,VET
7,308.2252156579763,289.15241663813663,VET
8,324.53412443777376,299.7448007219108,VET
9,328.32666666666665,304.6748660182217,VET
10,303.89350906010486,286.07407455720386,VET
11,100.45475941792076,103.04882386616016,HAM
12,223.3061751169935,222.41148705178827,VET
13,272.81597197037036,270.60581788100393,VET
14,275.86384021478824,274.75712081699885,VET
15,130.03561555082942,137.25014925583162,HAM
16,201.6933952924218,204.6600793742049,HAM
17,257.3734947546274,256.2224175602362,VET
18,257.2835603033909,254.9162072090199,VET
19,250.85898653915797,244.66552532289683,VET
20,149.98975822903117,151.4100409080417,HAM
21,188.06070775017682,195.59147618725822,HAM
22,177.00962884555503,164.82573257048412,VET
23,189.31268707107873,189.81590980071465,HAM
24,253.58364002112435,251.74089868779595,VET
