Minisector,ALB,SAI,Fastest
0,299.35027754158733,304.53290716625173,SAI
1,168.53306257025451,162.33844776222372,ALB
2,177.0061747212179,168.66404696378868,ALB
3,257.59269472832705,248.71337541511377,ALB
4,286.366485244839,285.45943443924966,ALB
5,246.91033313523812,237.19201460892563,ALB
6,226.27251772763523,220.48681458039792,ALB
7,149.55700343091002,152.1111901047914,SAI
8,229.31662812814102,224.895093818158,ALB
9,286.04937698597666,282.13157524492715,ALB
10,306.7617559917649,307.2571628830926,SAI
11,316.3473793936842,324.28213809724315,SAI
12,320.99017541614035,336.3413783018155,SAI
13,322.47003286736845,333.2720597002959,SAI
14,129.9491825331789,128.77236647566525,ALB
15,115.91696968842068,117.94758205701932,SAI
16,103.48939682653943,105.59437497781069,SAI
17,236.51050794466073,234.13916684822885,ALB
18,288.47284293269007,287.04651540876444,ALB
19,308.1643561295031,314.83402494111647,SAI
20,316.9910663568254,331.4460658831971,SAI
21,320.7909352116368,335.75759540210527,SAI
22,129.99282372243914,118.34379303684553,ALB
23,202.47001957029028,206.27943882539685,SAI
24,272.4039805303921,274.1966822632518,SAI
