Minisector,PER,SAI,Fastest
0,248.41114573019132,250.9516148485501,SAI
1,214.49268704131686,207.04934445471136,PER
2,195.15330142037396,198.63551276549333,SAI
3,252.3961282733073,249.08329735937323,PER
4,269.2830848736508,265.0445333426526,PER
5,288.33719580444443,287.06565143544356,PER
6,175.78163600093353,167.06893800110117,PER
7,172.20979807922566,180.48606048840392,SAI
8,265.32554233627707,267.6715815299276,SAI
9,291.49808682601207,302.0534708085764,SAI
10,303.9379887934694,320.5755647467571,SAI
11,304.9792849907056,324.4656147352381,SAI
12,114.23014304253968,117.0122402189686,SAI
13,182.19845702737504,173.82242144237728,PER
14,268.49236391102465,265.8993673544589,PER
15,294.8359893768575,291.9470651245791,PER
16,301.3876867121344,300.8440786759812,PER
17,184.85998506119142,180.22494561238742,PER
18,217.9152854626176,217.31913876682364,PER
19,262.5529462466032,265.9795463821102,SAI
20,156.87139854686475,155.59810549364778,PER
21,139.70127910290398,138.74912158684103,PER
22,215.78078314113378,206.88398690988654,PER
23,236.9507211823666,233.6897672963992,PER
24,149.41032703293843,153.16731865101102,SAI
25,220.89999786666667,218.65972266666668,PER
