Minisector,PER,ALB,Fastest
0,290.9402737735818,297.6810478109091,ALB
1,301.73105250807015,309.79537250424244,ALB
2,275.67997778986665,287.9587690813513,ALB
3,107.7494541937983,106.944246022651,PER
4,216.69337406258504,223.3027955898535,ALB
5,267.57986194511267,273.6028207464358,ALB
6,202.09279251857143,195.60443279660868,PER
7,164.47619834208513,159.6101655221164,PER
8,204.81940626880674,192.5294343517123,PER
9,203.37418172298348,204.11171567492065,ALB
10,114.79364700512537,110.87226301835011,PER
11,227.7745621937577,223.36180978889806,PER
12,118.23913087954558,110.05899265496103,PER
13,221.75652198420966,232.13156408297027,ALB
14,271.3266418389625,277.92021393859255,ALB
15,212.95378647352274,202.2599030424424,PER
16,192.36979971599524,189.96199282684697,PER
17,239.3062275322864,242.09599491786483,ALB
18,192.4161547869264,182.03471675530162,PER
19,186.12286866235323,192.32459653051444,ALB
20,263.6504424640542,270.2710229333333,ALB
21,288.4368836949281,295.21306560761906,ALB
22,167.84367734590475,148.92039334500055,PER
23,204.04043939684658,215.86220972672024,ALB
24,270.25309365439153,276.48000579961905,ALB
25,284.16,,PER
