Minisector,LEC,TSU,Fastest
0,309.1506588966396,307.73514290962964,LEC
1,198.61513151454395,182.0523303774638,LEC
2,112.04806190354908,113.89221935117502,TSU
3,193.16068855070478,202.33837284749313,TSU
4,250.788596926391,257.3370161149783,TSU
5,282.6145709950327,284.9015386978201,TSU
6,299.60979181666664,298.10194223956995,LEC
7,231.8309401790375,236.3672899490137,TSU
8,145.68223113382314,144.54619214775605,LEC
9,231.91403893890384,227.80234303054237,LEC
10,269.7983377434131,268.81318817835705,LEC
11,223.17047504747782,222.4534770991023,LEC
12,174.566462378829,173.92480517549302,LEC
13,101.83532964119755,108.31411835772087,TSU
14,107.93951120434487,106.16511388795772,LEC
15,136.88970386278717,139.7308309723158,TSU
16,116.65137393944067,109.47198455369971,LEC
17,207.86737154619354,199.37125516943271,LEC
18,146.05982184207792,167.40665073753837,TSU
19,151.07987455404486,140.30837611144162,LEC
20,242.2430242979894,236.61422048663476,LEC
21,274.0904897142857,272.0754116591825,LEC
22,292.5159168106667,290.9481429808035,LEC
23,302.15851010456566,299.73823580454547,LEC
24,307.2222427764706,304.95156248,LEC
25,,306.0,TSU
