Minisector,ALB,GRO,Fastest
0,254.6668079784985,259.3791192043248,GRO
1,131.75762839063796,129.78847407746164,ALB
2,195.4735178390003,198.53270439880833,GRO
3,245.86754835199437,245.2774095797258,ALB
4,255.09849814397407,257.0794256201351,GRO
5,172.30825520936224,176.09171914029716,GRO
6,144.33549017608044,147.54675842838887,GRO
7,180.03982522474527,178.36278195488723,ALB
8,101.26830841117877,99.28945710174101,ALB
9,75.14379339423563,73.28151383085276,ALB
10,94.96705887133055,91.02930960301013,ALB
11,185.4345221225608,173.29581474413703,ALB
12,246.07360655089815,242.1113830606059,ALB
13,270.61896411928876,266.2503565367233,ALB
14,282.0754419057714,278.8719438453159,ALB
15,116.50219882322503,123.93722156229585,GRO
16,146.1565399677174,136.5546997238765,ALB
17,184.537350821323,194.5886991696712,GRO
18,193.35678477450446,193.16069327842536,ALB
19,206.1829527807812,216.5119794,GRO
20,136.35329263864043,138.5991859929861,GRO
21,111.44274561795591,128.64269373308193,GRO
22,97.88139354619615,82.01181819455125,ALB
23,198.71137961780119,184.26145102078,ALB
24,250.3140637251803,245.15841450351303,ALB
25,265.1625024,262.4937504,ALB
