Minisector,RAI,OCO,Fastest
0,298.97537429036544,284.28419855875853,RAI
1,251.5673828038095,242.36459073361263,RAI
2,271.2811126542837,267.6863896332362,RAI
3,297.0690674611527,277.6388901925926,RAI
4,132.62440005553606,127.29677190742972,RAI
5,215.6645132292957,208.83751672756063,RAI
6,273.0342389210576,267.477706344256,RAI
7,292.78068864702425,290.28544870247634,RAI
8,301.5750637720277,300.3156249333333,RAI
9,304.7836697872114,305.07232447381875,OCO
10,287.7360290365669,298.59127963466955,OCO
11,104.20132185326486,106.84271367815953,OCO
12,229.4832770174049,199.80791174667323,RAI
13,278.1553240822032,271.9675343955348,RAI
14,269.8156450354924,281.7000181249127,OCO
15,130.99331699214576,133.08672679175942,OCO
16,211.87995809431578,200.37575807373338,RAI
17,262.6019505354497,253.8230041277731,RAI
18,245.88187519029208,257.5794178807017,OCO
19,242.5552422263716,237.34114014649916,RAI
20,150.87442057067398,152.37706166936272,OCO
21,194.51851184900954,174.6338953561812,RAI
22,179.11247369766247,176.15750163498456,RAI
23,195.2077342527624,179.2483797340785,RAI
24,257.44605500841095,240.29541241406758,RAI
25,,270.770832,OCO
