Minisector,SAI,LEC,Fastest
0,269.61555428131373,275.1438111613968,LEC
1,288.1770998789035,295.91203656938796,LEC
2,288.2587656606211,295.1834787978836,LEC
3,181.66030546342353,180.7426106299505,SAI
4,124.09028513102453,118.02079435783125,SAI
5,234.3883842871795,233.90650945659863,SAI
6,274.7672968870037,279.8202651733333,LEC
7,281.8261957538717,291.1908824946609,LEC
8,188.00079706950098,175.27427869213608,SAI
9,145.37985411047705,141.05385110480896,SAI
10,245.37847145818182,247.75376222156865,LEC
11,281.307872414409,287.95650715481304,LEC
12,296.34228170307455,301.052752549495,LEC
13,284.0869574432323,277.6203842728028,SAI
14,295.7854707934199,295.3061363914625,SAI
15,293.3959648748538,296.53631132114316,LEC
16,248.10756243482004,250.3690173130869,LEC
17,218.03220441520733,218.4333533066339,LEC
18,270.20287867580504,274.63669234688706,LEC
19,293.0289255204294,297.01476449209343,LEC
20,295.77618097683745,298.9349892312888,LEC
21,234.39764276825434,228.0307888899894,SAI
22,254.32990775454093,258.3502609875891,LEC
23,139.09525352795737,135.78338782555733,SAI
24,215.90815656462877,222.02956224837828,LEC
25,253.218748,,SAI
