Minisector,RUS,ALB,Fastest
0,293.44521872442687,282.66955112699816,RUS
1,160.75869554821344,146.9530431362489,RUS
2,163.48386164952504,160.91048351213374,RUS
3,244.9741257148718,239.29585976845718,RUS
4,268.9190251951561,260.5162113629304,RUS
5,236.98360663042737,215.9737835163982,RUS
6,212.18425217460705,199.35238021460404,RUS
7,143.17310478523342,140.43221744978268,RUS
8,228.9632963095994,226.61972575134627,RUS
9,304.7880515487831,296.7417839492456,RUS
10,324.70435258164747,323.50023451172666,RUS
11,330.6063155957895,327.55653120676317,RUS
12,326.69613441791944,320.7856536941565,RUS
13,321.8130494036105,306.0011201301638,RUS
14,127.91400335779471,119.93387174382462,RUS
15,113.6127404831656,112.72107186699996,RUS
16,98.07087887840433,106.57260286666104,ALB
17,241.57525292698412,243.99789492783646,ALB
18,307.3662773672879,304.16490226161346,RUS
19,328.1924433347369,315.19861098922615,RUS
20,328.2773629281937,315.0984679579333,RUS
21,324.7221601647118,313.6637188155964,RUS
22,124.64764200905826,114.38694712640576,RUS
23,202.7469480399186,209.43426038393767,ALB
24,276.2651328522191,273.8725714187255,RUS
25,285.0,,RUS
