Minisector,VET,HAM,Fastest
0,285.3598010659739,275.2705498617914,VET
1,311.86628182939637,300.64130116923076,VET
2,325.1535718095238,313.91932588698415,VET
3,332.7794646857143,322.85633924568606,VET
4,337.07559535238096,327.6526985567006,VET
5,338.00595238095235,323.71471031292515,VET
6,206.37139636363636,199.19629560154465,VET
7,106.1849518918821,108.15533606027451,HAM
8,196.23198287418947,189.15306465988672,VET
9,271.1852000711111,259.9743066074074,VET
10,301.45342350476193,287.6915706986775,VET
11,174.1396712064397,164.456479480776,VET
12,97.04070373307103,97.3557124103671,HAM
13,120.61235951707624,118.78968274435182,VET
14,227.62676941041522,222.6537276234241,VET
15,189.71845712171648,190.18173619957528,HAM
16,222.56540879576718,221.8701485714286,VET
17,180.5526877885342,179.86771849738258,VET
18,240.6202380952381,236.44363081904763,VET
19,287.2225564773727,278.8802326936934,VET
20,254.21338974131788,241.28815859649126,VET
21,147.75874788757199,144.36342722150482,VET
22,98.07213043848886,100.6792310578748,HAM
23,125.12921684897958,127.54333302857142,HAM
24,237.88730173968253,229.95326235979886,VET
