Minisector,VET,ALO,Fastest
0,280.84761519795467,293.6317923641311,ALO
1,153.45723121896523,149.88452425959295,VET
2,128.19443964511908,137.98181219954893,ALO
3,228.00815516956925,214.69330209030412,VET
4,283.28589693558706,284.0338,ALO
5,277.7985211916988,284.49583561571717,ALO
6,141.48745138230458,136.85024287760214,VET
7,140.28926836577708,136.08438065312552,VET
8,133.6912352836419,139.01213514288392,ALO
9,178.18398076627352,173.48683802615608,VET
10,113.50973691795014,130.87231251969715,ALO
11,112.28153081206852,120.58779348884916,ALO
12,174.8495554108413,154.42807211904457,VET
13,268.1355162604052,262.8751284406842,VET
14,287.223546705196,287.88005765470086,ALO
15,138.48658744115696,148.58797663411525,ALO
16,190.88789433599217,211.6215557278161,ALO
17,177.21666145124334,159.64644553308102,VET
18,271.65659437941923,266.4825610449356,VET
19,294.24001158252145,296.7216904761905,ALO
20,308.84789341198086,311.4875475988406,ALO
21,317.09673597333335,320.9249005869061,ALO
22,320.05974028051946,324.3123188637681,ALO
23,322.37415276800004,326.5122853818182,ALO
24,318.99436207274505,322.93348063973065,ALO
25,314.9041664,319.0,ALO
