Minisector,LEC,LAW,Fastest
0,290.8522325269534,288.6241506865359,LEC
1,300.37832514285714,294.34830507774893,LEC
2,163.82454968766447,153.17403577998093,LEC
3,221.32905509153878,220.85106472568665,LEC
4,272.4446852262584,268.19302005491653,LEC
5,294.1344823877503,289.4980530800907,LEC
6,301.51270835555556,300.31959827918365,LEC
7,168.50326906342528,161.61665164369333,LEC
8,130.81631992431176,137.491422633746,LAW
9,248.54403883477076,250.03923632914285,LAW
10,283.66854165555554,283.04449104617606,LEC
11,298.06920277252635,288.21515258753493,LEC
12,143.12466871989903,134.42028472872195,LEC
13,187.56011386827026,202.8921910962514,LAW
14,256.75696915704276,256.8422677291775,LAW
15,194.8395743632579,192.44870745961921,LEC
16,216.66064854319487,214.6418147778355,LEC
17,213.40675453144374,208.33030331486984,LEC
18,242.02560158452005,242.20283273828178,LAW
19,277.23441327667535,275.1161581727273,LEC
20,294.8472672131602,291.08122557699346,LEC
21,264.73526640513364,254.96044066730462,LEC
22,217.14926503314004,212.05911791897154,LEC
23,199.4238432859979,198.58895658757433,LEC
24,262.93295427094466,261.0596276306173,LEC
25,280.30000071111107,,LEC
