Minisector,BOT,HUL,Fastest
0,275.71625026545854,277.2879976612199,HUL
1,288.6974303825123,295.79495222383616,HUL
2,288.5151620029283,287.46277803495536,BOT
3,183.58537151826408,173.58018159245685,BOT
4,138.81535320837335,132.22859807612173,BOT
5,244.5397075942721,246.74445332076976,HUL
6,282.606285624788,292.15694028013513,HUL
7,293.57367156567926,292.0070358683039,BOT
8,191.6559800079815,168.5032549971629,BOT
9,154.90396246326546,145.69684284524286,BOT
10,254.84580071460948,255.7642619986543,HUL
11,284.25519376008657,289.3744029592057,HUL
12,294.0973015890966,291.3161320402134,BOT
13,289.0307594020967,279.59087985955335,BOT
14,299.3324386736091,301.4414625995043,HUL
15,297.4203868473116,298.2342285673219,HUL
16,264.29447770077894,234.47044929305866,BOT
17,241.83076652335546,221.87015265436403,BOT
18,282.63835490742605,290.07923551029273,HUL
19,299.964963082036,321.37635932136135,HUL
20,306.87043722151776,325.97392160172376,HUL
21,253.25237165039286,222.0095557934204,BOT
22,267.3553685497707,253.00212019133312,BOT
23,140.50167038791304,139.07202655847763,BOT
24,225.51099242138702,223.50208145950438,BOT
25,,259.46025302246267,HUL
