Minisector,HAM,SAI,Fastest
0,304.1606330743936,298.4514446443427,HAM
1,146.28869769605777,137.3396480878192,HAM
2,212.72294173175612,213.41987154449973,SAI
3,276.9847508384416,274.70484036548845,HAM
4,313.5411788098927,313.7349612612136,SAI
5,323.8099100612615,316.4818749061623,HAM
6,148.67236482190708,154.33493009958127,SAI
7,247.2873942708265,241.8461596442392,HAM
8,126.93754926055152,113.19888989852349,HAM
9,143.84973257448067,149.5009136850513,SAI
10,268.03624781103423,273.6352328299186,SAI
11,297.7002742209524,292.8347851954424,HAM
12,253.49164271827235,253.0404163287478,HAM
13,153.2459350904423,157.7049960110879,SAI
14,266.944806070876,272.3967379781711,SAI
15,305.9411815478324,307.21199940608597,SAI
16,322.60017941243757,323.7602117004757,SAI
17,332.25564924081635,330.69408156363636,HAM
18,337.35459380000003,336.4017911504473,HAM
19,336.7910739117255,334.5704544,HAM
20,226.62892702164814,224.8248348304647,HAM
21,151.03955060381142,150.44584399583513,HAM
22,272.61443117180323,276.2911855930253,SAI
23,309.85940537627704,311.07266704,SAI
24,324.7323351089324,326.1527415664645,SAI
25,321.4124992,,HAM
