Minisector,ALO,HAR,Fastest
0,297.05251435503084,281.9559041333333,ALO
1,160.11217731512755,155.86683769076245,ALO
2,153.15567752307572,154.91366917223166,HAR
3,220.69637258291158,219.44726786206897,ALO
4,282.26829732173917,281.2111382392725,ALO
5,289.26913013333336,291.7507579636363,HAR
6,145.63281224086762,146.51638864216474,HAR
7,136.92277575192043,135.92263868981803,ALO
8,143.67488752437404,144.63446562397706,HAR
9,179.3945577185185,173.15706040825492,ALO
10,133.53323212030156,131.14870796489865,ALO
11,123.03265015422205,121.90562815422652,ALO
12,162.11037713849728,160.11694542517344,ALO
13,260.5255420127336,260.6217137127619,HAR
14,281.93612818550724,283.33220917073044,HAR
15,151.22291142945735,147.9741699690626,ALO
16,209.1152096536471,203.44294448172045,ALO
17,162.58277608849184,158.4584278350219,ALO
18,261.5236992834393,263.50308923607804,HAR
19,284.73505391595336,285.9242423272727,HAR
20,296.9735416533333,297.3054350856403,HAR
21,304.20218245079366,303.62257890681246,ALO
22,309.6618788671607,308.10204080181404,ALO
23,312.31689351836735,311.9900703412054,ALO
24,309.4328505979668,308.6255681939394,ALO
