Minisector,OCO,BOT,Fastest
0,304.8300306217989,306.61128752592595,BOT
1,212.63717159695238,234.31219005507705,BOT
2,129.2361156007874,120.74817404087291,OCO
3,218.50114088877845,213.6416505221989,OCO
4,262.7416516967313,260.7701439081237,OCO
5,285.78631952748486,285.6662618340741,OCO
6,298.62224696190475,295.17230408784314,OCO
7,251.83096997345015,276.3702077288854,BOT
8,164.35343368926127,164.6578221220839,BOT
9,238.97318410831,236.15299890013654,OCO
10,267.67923364495306,266.6574250105263,OCO
11,259.41114416342856,252.259372193875,OCO
12,206.08687763929495,199.24788830814813,OCO
13,124.78831915566998,119.57750729321683,OCO
14,121.22991435649702,123.50947824802104,BOT
15,152.8532840853855,146.66159216313724,OCO
16,120.40558385773649,128.16863161930138,BOT
17,223.81674285507762,227.8159087474026,BOT
18,162.46131897278306,161.62170769819426,OCO
19,157.45611364659442,166.85574312777143,BOT
20,241.64994785862433,244.41947296268887,BOT
21,269.73774393019744,269.23098569312174,OCO
22,289.47209371897435,286.02536495731096,OCO
23,298.6150343911111,296.0101469549822,OCO
24,305.60296247097347,302.3983631619048,OCO
25,307.68421033969975,,OCO
