Minisector,VER,PER,Fastest
0,272.54683324266665,270.7979968727526,VER
1,245.51750954550843,241.89671317713575,VER
2,117.95407132223019,118.52441852846188,PER
3,176.5303038709841,170.38005200701966,VER
4,194.89585598817084,184.51560203283617,VER
5,198.8609649721039,196.41062793340308,VER
6,264.33602710857144,270.213236741938,PER
7,286.5288562154882,298.48190080262475,PER
8,235.4076778359977,224.0288581163448,VER
9,155.3551703658558,144.66415189561255,VER
10,120.65127033013033,115.23282313192419,VER
11,149.59767969536065,150.3827540405092,PER
12,242.95725892155843,240.12177066888887,VER
13,143.85779134490426,148.06533765402332,PER
14,154.3319458190556,146.1483810627285,VER
15,107.6880779764918,110.12086224861739,PER
16,220.17391727511026,222.99357947084926,PER
17,229.682646236965,231.438193930959,PER
18,128.3000271421852,126.2759080738777,VER
19,239.8435268227119,245.85013094885593,PER
20,274.28488117769786,286.3990860212349,PER
21,200.36580546156202,188.1163063698102,VER
22,154.55877061873497,143.59587665308797,VER
23,218.67378252493654,210.164406797678,VER
24,230.35533696202253,222.9183701705785,VER
