Minisector,NOR,PIA,Fastest
0,293.7219849658483,294.8250775026455,PIA
1,297.61201383269844,300.53209557909224,PIA
2,158.30731140691864,161.56704089489176,PIA
3,223.7675557584314,223.30760598152125,NOR
4,273.00879491947956,279.1006942532628,PIA
5,294.0117904175824,309.90722572284466,PIA
6,304.9210671902041,318.2020384866558,PIA
7,170.32775946615928,167.12952788024018,NOR
8,136.24132270727208,132.66929114939876,NOR
9,250.5347003071522,254.70982395705627,PIA
10,285.7466986773333,298.37084754294443,PIA
11,296.6103913677675,308.98152226436974,PIA
12,144.39063216414166,147.73198181720997,PIA
13,193.07327813175343,185.75780793075702,NOR
14,259.0652911117576,255.77499618456562,NOR
15,200.54196536507936,201.21151215901244,PIA
16,219.91191826123324,218.096707776,NOR
17,215.16390340102564,219.2154326010158,PIA
18,249.5850516754838,247.20515363150923,NOR
19,279.99807043160496,278.3362310340741,NOR
20,296.62709414603177,294.8648736207261,NOR
21,269.48193639619046,264.7654255336345,NOR
22,220.7569754593524,225.57418995385882,PIA
23,200.16495824,199.91379498164167,NOR
24,264.7546632228572,265.69165496366014,PIA
25,,284.4642861714286,PIA
