Minisector,OCO,RUS,Fastest
0,295.01819197142856,304.13377677294363,RUS
1,304.60885888581004,315.13244053333335,RUS
2,311.1141026461538,321.6064897831339,RUS
3,309.5243525937871,316.6509613538461,RUS
4,187.7041120132505,198.523974591603,RUS
5,97.55196274311024,104.54542029151477,RUS
6,199.3398124679833,212.68218587439387,RUS
7,253.76862775574227,259.60413302507106,RUS
8,280.2537740271524,283.6855560838095,RUS
9,288.34401073333333,289.36587836988264,RUS
10,149.75176778224858,152.0235117890701,RUS
11,173.70800119466665,187.4538048092516,RUS
12,235.42415341938073,244.6395835005291,RUS
13,241.3289855118753,238.89483250568108,OCO
14,154.36999206042694,158.77543599303232,RUS
15,209.8357757652489,222.48472274850087,RUS
16,259.1399517605698,263.9243948373728,RUS
17,280.8066669511111,283.5923210849812,RUS
18,293.6049633870252,294.44187944489795,RUS
19,301.8925015807789,297.5990282740066,OCO
20,279.69408146666666,279.71171746666664,RUS
21,146.0943174024526,156.18421394834428,RUS
22,204.76390775440578,215.2356666603777,RUS
23,257.17489576694675,261.1002458352941,RUS
24,280.756750231735,284.84374953450504,RUS
25,,292.75833386666665,RUS
