Minisector,BOT,SAI,Fastest
0,315.83664023703705,289.7888158315789,BOT
1,242.90601878437383,215.89194099858668,BOT
2,153.22445160550447,140.9790507619146,BOT
3,228.0376110131757,218.04903930966182,BOT
4,161.04537011131245,151.23948955556884,BOT
5,174.330931816159,171.6534125395308,BOT
6,250.67961621469368,246.67023842539683,BOT
7,273.6975002666667,269.22003951746035,BOT
8,277.4549392655999,275.4412949370197,BOT
9,258.93052941646266,246.74226133333335,BOT
10,243.41131022222223,233.32155733333335,BOT
11,242.7907936507669,234.683660366044,BOT
12,213.94086260380703,206.2066075149409,BOT
13,148.9272411477657,137.44827086050546,BOT
14,159.61672854597555,147.00116436835233,BOT
15,193.02278358601686,175.8655597989901,BOT
16,260.93871084632826,250.97499900952383,BOT
17,245.60219861251682,247.49256776290127,SAI
18,119.37121041368434,115.01187446373105,BOT
19,199.87884508717949,191.2621536119972,BOT
20,184.20430583434373,192.9944081468403,SAI
21,204.89265928937039,227.95900674120082,SAI
22,250.49598343411157,259.29223232224547,SAI
23,272.8367818142353,275.0711589270122,SAI
24,287.96988081523807,284.406250074074,BOT
25,,286.7729168,SAI
