Minisector,NOR,RIC,Fastest
0,249.1296373599979,249.88069260606062,RIC
1,207.03993879064063,200.95307160430107,NOR
2,201.4482635240475,196.16573960357144,NOR
3,256.37639891301586,250.92043715109187,NOR
4,270.455150105176,265.6865144295873,NOR
5,278.05936981157026,280.3267290104309,RIC
6,163.12795202678186,153.7533189169277,NOR
7,186.84275382695844,173.06796977868962,NOR
8,264.3939252464478,262.5639641955473,NOR
9,289.2698423928022,288.6086914545029,NOR
10,296.89508236952395,299.44946146394557,RIC
11,291.1860819327731,297.9103460013072,RIC
12,115.71892476718685,108.07911078070272,NOR
13,186.64341319726037,185.7235693190957,NOR
14,266.86031572365835,268.0017981706293,RIC
15,291.2743757122042,291.3938686934744,RIC
16,290.86279463218045,295.5936309774465,RIC
17,183.7223747645227,179.91623203488894,NOR
18,221.06043924977504,217.43488671933412,NOR
19,260.5519410921304,264.02696183555554,RIC
20,155.31982263624644,150.1110591387048,NOR
21,144.8285969554673,136.17738184279347,NOR
22,220.9900045348131,210.1790242179253,NOR
23,230.08703324444443,218.1321188786989,NOR
24,162.1236558996576,153.3533760450438,NOR
25,,221.7500096,RIC
