Minisector,RIC,HUL,Fastest
0,277.98586949565214,279.298248012403,HUL
1,293.11777237602496,294.97125008,HUL
2,239.69733307733333,236.66040678603534,RIC
3,119.85583988216939,115.68537570420169,RIC
4,135.3861672714205,136.44071250852713,HUL
5,248.98866608253968,250.464702277044,HUL
6,257.5112235836876,252.99478924444443,RIC
7,129.93877080852798,123.81705930973425,RIC
8,247.20398608695652,245.2278991304348,RIC
9,265.891856,261.0601952418199,RIC
10,222.43128845573622,208.75405499396578,RIC
11,145.49212629118784,143.6760571532673,RIC
12,209.9557286071326,208.9799110857143,RIC
13,263.6761620208617,264.5781925333333,HUL
14,124.81225963034295,119.4118492569572,RIC
15,190.28362001051087,193.2515260847231,HUL
16,254.84274670422045,258.1027331786436,HUL
17,285.4889928048344,288.0427084723809,HUL
18,296.1120615298246,299.9300439578947,HUL
19,300.22785094736844,303.61864039298246,HUL
20,303.6997917333333,307.0616118229998,HUL
21,189.3967130120062,170.0719752551796,RIC
22,137.3658699114048,147.4550013333333,HUL
23,209.23009339373147,204.55694089319772,RIC
24,235.66344106971428,238.53365235484836,HUL
25,264.35,,RIC
