Minisector,NOR,STR,Fastest
0,278.7362205087818,275.1806340280435,NOR
1,298.93574881026984,292.638773020314,NOR
2,294.9213756621877,290.80450354004495,NOR
3,173.2687331150892,174.86419848939593,STR
4,124.32106976430528,125.92498700152915,STR
5,240.86159398738602,238.27542931444881,NOR
6,282.74262773333334,277.9296648274173,NOR
7,288.7946142695925,281.18952786995493,NOR
8,186.0909567436074,189.50168800188402,STR
9,144.41156807136497,147.07537438411137,STR
10,254.2990343983826,252.76836609567567,NOR
11,289.8184519497143,286.57728594087615,NOR
12,298.73395253638097,299.58431969282617,STR
13,282.03718117110077,280.84814513174837,NOR
14,295.3789690837237,292.19323950896603,NOR
15,298.7099371922193,295.53921142502253,NOR
16,251.20609444653326,257.38129782139856,STR
17,230.41815238143562,227.01511128970816,NOR
18,278.8923515674843,272.50397491950065,NOR
19,298.827034980693,291.58039414432596,NOR
20,297.5791132728735,297.3891666773333,NOR
21,228.64743769927668,231.47125937455664,STR
22,259.90889383690563,252.59057291833358,NOR
23,139.0362332588879,144.23064659047682,STR
24,218.60146722463392,211.38632442848325,NOR
25,260.73333333333335,257.7166663111111,NOR
