Minisector,RUS,ALO,Fastest
0,294.6940392514286,295.8994227191043,ALO
1,305.07986812517004,298.3514663736381,RUS
2,154.46796312756683,155.3504208434062,ALO
3,224.61853637460317,222.29586161668135,RUS
4,276.6893236395568,279.00680290786136,ALO
5,302.1687733233333,305.7836338474088,ALO
6,312.20750016,309.01234482171003,RUS
7,165.5120160264285,182.92863340737483,ALO
8,128.6776364755748,119.25907415005123,RUS
9,251.88154819428573,243.60543353696488,RUS
10,286.30313506807016,279.8811582168451,RUS
11,291.7055695490909,289.179414615873,RUS
12,136.248397626582,157.1444308016486,ALO
13,187.06701222902686,186.9894108674426,RUS
14,248.23417842205512,249.13327756975417,ALO
15,200.38855475776904,208.91762597900694,ALO
16,219.505587584,216.28938948461928,RUS
17,212.76541940868483,209.92763348968862,RUS
18,239.29303884425485,238.41657421587303,RUS
19,270.87749913680676,271.3915785452101,ALO
20,286.89032191087347,285.0191351193277,RUS
21,261.89500196977286,262.8965012449488,ALO
22,229.6971326105176,229.64945767619045,RUS
23,201.81026612596378,203.96691013845876,ALO
24,258.66156635789474,257.9513016216365,RUS
25,,275.28888746666667,ALO
