Minisector,PER,STR,Fastest
0,284.3753434086478,278.51955380796505,PER
1,132.40416017790827,123.6787161075202,PER
2,160.0261589990715,157.78660398118043,PER
3,231.15062852498698,207.96750688484846,PER
4,163.24323547933508,159.64789667590523,PER
5,239.7967361415539,241.4474663064935,STR
6,229.87690986745656,217.17007622194618,PER
7,136.94701550976598,130.1402307501816,PER
8,231.5908383453804,231.6943515637267,STR
9,271.8261945722231,282.09298668684625,STR
10,282.58978953415595,285.83816672466685,STR
11,149.9169386855914,139.78007873888708,PER
12,222.0445618937753,214.77713029906985,PER
13,265.8892813196355,266.8860720839506,STR
14,267.5506831021554,252.2898300088889,PER
15,102.6115723449419,95.30796368524014,PER
16,221.61661247907648,210.7247672023088,PER
17,270.3457318495722,273.8021641441423,STR
18,289.64641773262787,301.86695102372187,STR
19,298.86460623451705,318.5157777208889,STR
20,304.45925209,328.7392523579737,STR
21,301.5916658871795,266.59225100011207,PER
22,154.97535734872332,143.10432625382035,PER
23,234.4668138342752,235.45994965149475,STR
24,272.576944897098,284.0494143263492,STR
25,283.1666666666667,,PER
