Minisector,VER,RIC,Fastest
0,281.79181846024903,281.9042565883454,RIC
1,294.47043636825396,292.0035716063492,VER
2,299.87781966917294,294.7914583466667,VER
3,302.0947989597994,288.6519923478261,VER
4,255.54197029147872,238.17715939204612,VER
5,196.52514420229883,190.16003868076598,VER
6,256.2040832288092,255.5243542955706,VER
7,279.37943250738977,276.00081172640694,VER
8,215.57157794285715,205.60006229274234,VER
9,210.23952562715758,203.56666286695477,VER
10,144.06636249764784,139.3751533895216,VER
11,246.37490287545492,245.5433273636594,VER
12,273.28605073623186,270.1558133588458,VER
13,224.12082024604803,217.6724402616362,VER
14,263.9366879307359,258.3906273518278,VER
15,224.32865326886082,217.28670441925922,VER
16,188.71610796666667,183.51563470829223,VER
17,255.24571668757963,256.5774151136125,RIC
18,150.31229705365854,151.41361287971904,RIC
19,211.1871607647099,210.5594259086221,VER
20,270.42131994458873,270.14505684813423,VER
21,285.5547617015873,288.589430092921,RIC
22,165.64785482135784,159.8528821852511,VER
23,186.53993185918864,181.18055974440992,VER
24,258.56939052307695,257.27478747911675,VER
25,,273.8,RIC
