Minisector,BOR,GAS,Fastest
0,282.83424533074975,277.04848555499933,BOR
1,301.9173807475132,295.8718576635638,BOR
2,280.1714120968152,276.19967778411575,BOR
3,158.19100329860893,164.1357018444629,GAS
4,111.7039969239339,111.87574530249158,GAS
5,241.9301784345116,236.38734781084065,BOR
6,283.8993549549206,288.08672611301824,GAS
7,289.28341500040403,292.20975668420385,GAS
8,170.96251766830935,168.05532130085226,BOR
9,135.49359095920485,131.2995706491505,BOR
10,250.57632775703703,244.584767323623,BOR
11,292.81751358535234,293.57373564561544,GAS
12,294.7027063343377,298.01043976093246,GAS
13,265.55080272626327,262.18454520108094,BOR
14,283.14970800813626,284.61885648761904,GAS
15,278.88153918787503,281.4277041345017,GAS
16,236.11120251114062,241.08564208536052,GAS
17,217.12651119544114,209.62442664527111,BOR
18,280.5045616725333,275.73155775219635,BOR
19,307.07363871255313,299.65374149175733,BOR
20,307.0303713916215,300.95826301848734,BOR
21,218.30668398467998,214.65772573600438,BOR
22,232.77464374142613,234.14602056491356,GAS
23,130.23145370885936,135.17320219604792,GAS
24,204.89707124342948,199.0994277083906,BOR
