Minisector,HAM,ALB,Fastest
0,291.2101730978355,284.9950961342404,HAM
1,300.208458562406,291.58442986666665,HAM
2,305.10952379348373,294.23289465263156,HAM
3,303.0184210526316,289.755120152381,HAM
4,179.66512336500148,174.52373801558443,HAM
5,221.09095238095236,207.6349325792256,HAM
6,242.78040338778735,226.47645189485712,HAM
7,270.6031178376417,260.5751300350901,HAM
8,263.0627696197012,252.4770968712215,HAM
9,170.76811290746957,164.11435885585743,HAM
10,233.86900036266667,225.50246157069597,HAM
11,140.1856248407939,136.736913326342,HAM
12,229.76170187408596,227.75066530133333,HAM
13,196.1084868374808,193.69055242796014,HAM
14,226.41376478905514,214.0882483978836,HAM
15,249.374689510559,238.97096532123018,HAM
16,265.8681818181818,255.75615034920634,HAM
17,285.9200548689439,277.8995756907439,HAM
18,130.18840572753624,132.88015240208213,ALB
19,168.84672146190002,162.5480415164445,HAM
20,151.98732308352487,149.19744032694214,HAM
21,165.78506802721088,165.14663068235294,HAM
22,120.78711691287646,117.78431772246022,HAM
23,230.86810083453693,224.58044758974359,HAM
24,271.11071418049886,266.54894468805367,HAM
25,283.13749973333336,280.5833322666667,HAM
