Minisector,VER,HUL,Fastest
0,282.42368812867727,284.2735578684249,HUL
1,150.97015674119984,151.7582158530572,HUL
2,237.84364376046574,229.94090172294372,VER
3,285.4952571552778,281.1717559896627,VER
4,312.7900996769766,312.02078350708075,VER
5,308.60593585981,294.78652619957796,VER
6,155.26352233206154,149.59275688257497,VER
7,253.40155685921837,242.29645372843538,VER
8,114.56550924868436,111.46264818736012,VER
9,177.0062049506899,180.3505157781036,HUL
10,275.74944835344695,276.58402407973045,HUL
11,301.5703499227429,301.93412020148145,HUL
12,213.60561411290828,208.43435667926258,VER
13,171.38916929895873,179.97768153914566,HUL
14,281.84112308451347,282.7705266677469,HUL
15,314.09320415478675,313.11109277614906,VER
16,326.6801019616557,326.31293997866663,VER
17,332.4710177462857,332.81982333320576,HUL
18,335.77268669123174,336.99851026219886,HUL
19,337.6128344493424,338.24375,HUL
20,198.80794091209387,184.7529485704588,VER
21,182.24773223073396,182.84480373866683,HUL
22,282.6551872490472,283.3587653219992,HUL
23,311.96036176255654,312.48075441778633,HUL
24,322.01663890460156,322.30457772524295,HUL
25,,319.7196650792529,HUL
