Minisector,LEC,ALO,Fastest
0,287.14641162220744,288.5462654352111,ALO
1,299.06067442756085,297.72595893045155,LEC
2,170.29278265238096,161.80800101966133,LEC
3,216.3780228119779,218.8372161428487,ALO
4,266.46944422312924,268.69583091118125,ALO
5,286.0276316631579,289.04562003140813,ALO
6,292.8729364421,295.81222492243535,ALO
7,192.8547425360544,170.2003039520628,LEC
8,119.23103204092345,123.23459427455163,ALO
9,244.5119613315193,245.31444735373336,ALO
10,278.00921202821104,279.9465645258293,ALO
11,291.6493420350877,292.31643531851853,ALO
12,149.55693604879886,147.0305373832981,LEC
13,185.9105863782313,188.12991531725623,ALO
14,255.09547828451562,254.05753965714285,LEC
15,205.42377637384988,197.69827340367814,LEC
16,215.252069145944,206.97370822584207,LEC
17,219.865117128634,205.3510955697099,LEC
18,241.53211575411254,237.40647113989144,LEC
19,272.1822286016052,272.737499845614,ALO
20,289.08128718005315,289.91362211037375,ALO
21,267.65760655535365,255.94476172732368,LEC
22,225.09378870685535,221.7587353657223,LEC
23,199.32751844102566,201.35051673757178,ALO
24,259.8196901774454,259.6999999854875,LEC
25,278.16666879999997,,LEC
