Minisector,PIA,SAI,Fastest
0,258.52060871657943,260.1430043954122,SAI
1,138.62242979744147,135.47697307709294,PIA
2,272.16297145609184,270.79884798657594,PIA
3,311.40926165376146,308.8304657519367,PIA
4,310.55629510715903,309.40908586666666,PIA
5,318.3803905797088,317.91199504562985,PIA
6,322.85011908266665,322.1486590545454,PIA
7,321.6579349206349,324.71407531467054,SAI
8,203.5160739438164,196.87861640019366,PIA
9,202.25553631371764,205.33775070632225,SAI
10,174.6606629620241,186.21307501990228,SAI
11,182.50766470909556,180.07889075137675,PIA
12,260.6530706647471,256.5182839658456,PIA
13,276.04229842672004,285.267334814602,SAI
14,286.21088623081295,287.5152698746921,SAI
15,268.23739344641007,271.82947614150675,SAI
16,180.57198101449754,172.69564999284268,PIA
17,202.3738972854975,194.04297676577778,PIA
18,247.93221079056195,251.93328879246897,SAI
19,292.1169111111111,292.06587280471905,PIA
20,311.95848899226297,308.76042031002805,PIA
21,317.905088985089,315.0801745426224,PIA
22,313.4972946656275,313.71234402078716,SAI
23,241.0789393900498,265.5036429171446,SAI
24,125.864287106814,113.14544927104522,PIA
25,234.47000192,,PIA
