Minisector,HAM,PER,Fastest
0,270.0809546353038,260.94605365567963,HAM
1,131.03203516716022,133.31294380422386,PER
2,269.0602663238095,267.4036656370755,HAM
3,315.822451155923,307.81217756825396,HAM
4,315.87569453968257,306.4050000213333,HAM
5,327.7045467195022,312.4574398218106,HAM
6,332.8634385312803,315.24385881496,HAM
7,331.60549246060606,311.31395793754547,HAM
8,194.86635674666667,197.6156233390753,PER
9,199.4864913176824,199.91224591697696,PER
10,184.1312258788367,180.46883436105279,HAM
11,164.32417767169267,164.9982869282115,PER
12,256.1739233376344,256.3060263495241,PER
13,282.9785016469542,283.5182957390713,PER
14,281.4232708645807,278.21480039553444,HAM
15,275.17099728868465,274.04437676049326,HAM
16,189.47219182026862,183.8290670925312,HAM
17,195.82567469075897,190.7470422412351,HAM
18,243.1956937146861,241.56142479139785,HAM
19,292.4099228092728,290.3213176499937,HAM
20,314.01719165528215,312.16067421676615,HAM
21,321.6503106385093,319.4469182884885,HAM
22,320.96053303944495,318.7468096,HAM
23,259.1180169142857,259.76668375491266,PER
24,115.60659998791603,115.24743140742893,HAM
25,231.7,232.7000064,PER
