Minisector,BOT,MAG,Fastest
0,311.63645826666664,309.8539604730718,BOT
1,243.27978485722423,236.42812732350885,BOT
2,141.18348946158642,137.11643635474715,BOT
3,223.41246413756204,222.28342783905782,BOT
4,266.1943817139126,265.02474284650594,BOT
5,292.64808538328487,289.9477764838692,BOT
6,307.71153846153845,304.83624267192516,BOT
7,293.18711544588894,300.85715144457066,MAG
8,184.67394689658002,177.15267959088504,BOT
9,245.0239048452805,238.53545313688437,BOT
10,277.1234138459953,272.8653445881503,BOT
11,271.13292836221626,271.2309632266554,MAG
12,216.4860442500322,203.88523355048756,BOT
13,135.76913579465466,130.56101889796986,BOT
14,128.01861055574614,124.539820270881,BOT
15,173.20302021789627,168.4601001829273,BOT
16,131.05538546998554,122.31094880946932,BOT
17,235.25436605019993,230.07921118928516,BOT
18,199.75772728164145,196.17466885887958,BOT
19,172.568198467252,160.5938913698181,BOT
20,253.64307906153385,248.6532017838193,BOT
21,280.48073219165747,277.0093522555453,BOT
22,296.0602414223425,296.19720238030203,MAG
23,306.3765362730195,315.9968180919391,MAG
24,310.25694435555556,327.0854166095238,MAG
25,,329.4351463269901,MAG
