Minisector,RIC,LEC,Fastest
0,319.0270186136646,316.6199274931677,RIC
1,326.11136373333335,324.28586132491654,RIC
2,322.2665631072464,327.59473043953636,LEC
3,193.3140869175101,205.59698944785202,LEC
4,116.4502825633475,116.18353751679872,RIC
5,264.7125501590819,262.9141406853861,RIC
6,300.8456931097432,297.4846160932362,RIC
7,311.88876823188406,314.25652718493967,LEC
8,274.8883319933509,292.7373394561844,LEC
9,139.39541771573892,141.0430570368208,LEC
10,221.6054244235518,219.2880151358097,RIC
11,216.15252539879634,210.6598103489434,RIC
12,192.6915492778303,191.40847390368936,RIC
13,266.24856215123225,263.3593138270081,RIC
14,303.4730869238572,301.32839006873706,RIC
15,311.7875517283644,318.70975440629076,LEC
16,259.08684452037437,265.64041942219916,LEC
17,205.3925887207934,194.5058836510885,RIC
18,271.39559370282694,264.98065975428494,RIC
19,305.9310039850932,301.8631941333333,RIC
20,318.8538823566912,317.8532863613477,RIC
21,307.9493064888889,308.71805706666663,LEC
22,206.86811400293732,199.3395108779283,RIC
23,262.9901779047619,256.4283039264368,RIC
24,300.03869608766496,298.2255481847136,RIC
25,293.1499968,311.96666666666664,LEC
