Minisector,LEC,PIA,Fastest
0,279.52151331787036,276.89220436544156,LEC
1,297.35149384355435,295.0629951074517,LEC
2,239.7331184327292,218.819293019166,LEC
3,111.31612931935679,109.03583936064723,LEC
4,125.4054243210948,130.42160218416285,PIA
5,248.08890140395258,246.2080464662904,LEC
6,253.45526120128707,237.3489439802356,LEC
7,120.8774315091656,117.45362746412137,LEC
8,243.64512290250525,242.75066045186816,LEC
9,250.34399900711375,241.8452081511111,LEC
10,202.65520137937168,195.15752726611368,LEC
11,137.63609747780376,134.93147226907905,LEC
12,202.0863233763775,204.6533372282179,PIA
13,262.9336039797447,255.2828855981414,LEC
14,112.10544826143904,107.4729519786514,LEC
15,183.04068681124093,188.9176682705908,PIA
16,253.71062310466039,255.25143465950316,PIA
17,286.3155109323851,291.082216471586,PIA
18,300.5506414409035,309.7546307573333,PIA
19,306.8629934736842,325.0785537592381,PIA
20,309.677027792,329.0274640553407,PIA
21,152.3887554490773,148.93971279057016,LEC
22,145.7398789720864,140.9966001703966,LEC
23,196.63056036596643,197.26497037312407,PIA
24,233.00245724458497,233.4541881912606,PIA
25,264.4,262.64062559999996,LEC
