Minisector,RAI,RIC,Fastest
0,276.1204650605557,266.662194076822,RAI
1,293.7905680753584,284.44008474009144,RAI
2,301.6098207560679,290.8272654565375,RAI
3,130.7866083078298,136.58839914829437,RIC
4,194.46322437613614,195.52359869671483,RIC
5,261.1275580105663,255.0476464665756,RAI
6,142.22402730824345,148.15123654006732,RIC
7,203.70230925831143,204.78798804162872,RIC
8,263.38291268697174,254.68847674464575,RAI
9,284.8518231333333,277.72121389086305,RAI
10,236.56821911569492,246.24313012098713,RIC
11,188.85383665808905,187.17079810125313,RAI
12,190.19947618599798,191.84096184378174,RIC
13,148.13867114297736,153.11344127051393,RIC
14,172.92635278380507,173.47646871526442,RIC
15,159.67312192112718,160.99550671973412,RIC
16,209.7768124360351,212.77329730909094,RIC
17,237.93504876109463,235.78801563972033,RAI
18,239.8059039921711,236.5996399422952,RAI
19,256.9129724991625,254.68991303914353,RAI
20,142.2492002114188,145.54116274004045,RIC
21,138.15756358713358,145.81990533906605,RIC
22,166.7348256902939,163.18882424503073,RAI
23,151.08685182581635,151.26561737538034,RIC
24,231.47848675285007,217.19883809275288,RAI
25,,252.04166577777778,RIC
