Minisector,VER,BOT,Fastest
0,301.48541701333335,284.90979168,VER
1,313.3593136313725,289.74861112865307,VER
2,167.68039756444836,174.89635493333333,BOT
3,220.42409039963945,218.44904952421118,VER
4,276.60148574969196,268.10392871619047,VER
5,299.7807020350877,288.46754380350876,VER
6,311.8822200245542,289.4236911077918,VER
7,185.74225458365117,180.5795845688889,VER
8,124.03404157020553,121.35237918100779,VER
9,245.7579182107342,245.9384930668759,BOT
10,280.55375029333334,281.5187752682078,BOT
11,291.51269366602594,289.055044154386,VER
12,154.34684584195625,148.4255440496996,VER
13,190.27949240434143,190.69613108571428,BOT
14,257.59781785396825,252.64642854603176,VER
15,204.23243360005702,208.39737622286296,BOT
16,212.77358203608222,212.217787654807,VER
17,211.5725933425359,217.07882164762978,BOT
18,240.43376522221897,242.10032454372293,BOT
19,276.13092115087716,272.81418561048685,VER
20,292.29946762105266,289.50865006988516,VER
21,262.28644589914444,268.8737499733333,BOT
22,222.21014432463767,228.02980050047552,BOT
23,202.8290743637752,201.79195773879135,VER
24,269.45145872,258.0803572416015,VER
25,,276.14166613333333,BOT
