Minisector,VER,STR,Fastest
0,285.97583047978196,302.6732308126154,STR
1,160.00610524202483,151.93480865320893,VER
2,172.8294051410101,168.48455955096654,VER
3,249.60761829159512,240.8798325418549,VER
4,282.4969195160091,282.7375921138278,STR
5,248.27040593902368,229.64785014386146,VER
6,226.7364299134694,203.40573335872475,VER
7,158.3451073718656,149.76727283702022,VER
8,233.182187527384,224.6163266634339,VER
9,278.1205567106221,281.3639450901264,STR
10,296.39836716843536,302.6378186593464,STR
11,304.7436645023888,321.37485265112304,STR
12,309.0058927817143,332.2981854579065,STR
13,306.5375298961378,323.3476782072161,STR
14,136.4233528669611,127.84381816682912,VER
15,120.59691776731084,115.61482440271284,VER
16,95.91733902264612,97.54636835227494,STR
17,230.87106383726086,232.67620292965688,STR
18,282.28813740190475,286.12681652340547,STR
19,302.38512519227953,317.8482135495238,STR
20,314.284644587726,334.9722998170105,STR
21,315.2131060214668,334.40710959477127,STR
22,121.06716170865445,115.15109708608713,VER
23,202.38749713617744,197.47786149932696,VER
24,267.81153377212,270.55179030476194,STR
