Minisector,NOR,TSU,Fastest
0,280.5898864724647,280.49700291333335,NOR
1,299.5082559284472,297.04450847558536,NOR
2,301.2745289524436,293.1275681532275,NOR
3,179.67135219064807,174.31475541364853,NOR
4,218.3119955638871,213.2132166702381,NOR
5,204.44640970445832,198.2396535487148,NOR
6,179.7910635842735,176.3679472849457,NOR
7,202.40818193864266,199.33856952962623,NOR
8,255.40327784910053,254.00262440263734,NOR
9,264.6596008100251,257.3069437400118,NOR
10,164.16567306181446,163.5937460237041,NOR
11,236.80979446693877,237.5657384693208,TSU
12,115.24354223003529,108.19631675167065,NOR
13,223.2792254873623,222.85490303215008,NOR
14,277.3593518412121,276.1102544196299,NOR
15,292.5151055704924,290.27986098,NOR
16,210.40125124644496,203.65122993661757,NOR
17,185.92517816708659,184.35413432055748,NOR
18,268.03966828753624,266.7378144113834,NOR
19,292.13974352352193,290.1238282722761,NOR
20,303.6783896786092,300.45242908257313,NOR
21,305.14607906086957,300.57025593881673,NOR
22,270.00318520857144,260.35149500712845,NOR
23,113.43018195119495,113.59073990770669,TSU
24,231.35695331141682,238.84993251102836,TSU
25,265.8071442285714,,NOR
