Minisector,VER,STR,Fastest
0,257.2776815827823,260.7287768101793,STR
1,130.67786402626146,128.24329429115056,VER
2,265.8251829379515,265.20868301626257,VER
3,307.5525422824418,306.3122363919022,VER
4,305.09570228545334,304.6444170906911,VER
5,313.32217251428574,313.5182978298319,STR
6,318.85921513086424,319.2174383506173,STR
7,319.90782075663833,319.0154661996499,VER
8,198.54991119549356,190.3152124595516,VER
9,193.68100730027436,192.1065201086656,VER
10,182.74338426791311,179.86765101122973,VER
11,166.87281389985304,163.04624736087464,VER
12,253.80544264595736,253.78785141090725,VER
13,274.63482259367845,282.20168905719026,STR
14,280.53553736116135,280.3508458899433,VER
15,271.4808602333333,271.3780600048781,VER
16,181.324910794408,182.33277980275167,STR
17,192.17546918391525,189.7422452870157,VER
18,243.84264508790568,239.74321366882245,VER
19,287.9918676375212,287.68207219640345,VER
20,308.73938081874314,311.4854811026224,STR
21,315.96056548571426,318.50146962510365,STR
22,309.472959292517,317.44315478095234,STR
23,251.10142935510203,250.08236494644572,VER
24,120.0686853742031,114.32899770920774,VER
