Minisector,PER,GAS,Fastest
0,309.90162180881833,316.99981842025124,GAS
1,318.58965282031744,331.7627814496241,GAS
2,315.56422951068583,334.4479113114638,GAS
3,193.78135840362802,151.6740464430252,PER
4,124.81896501235947,133.09819129772782,GAS
5,259.33583895906474,261.441893967653,GAS
6,293.1675565830658,297.0407437703349,GAS
7,305.5369780531977,311.2855120320452,GAS
8,266.2576101621127,254.3949168092517,PER
9,146.06258983145813,145.5040897009316,PER
10,219.9841303619048,199.28855014977606,PER
11,217.99202651519806,200.71876304887547,PER
12,202.30021499433323,181.50834341280992,PER
13,266.21462490088226,270.16874603747186,GAS
14,297.81177579882325,307.2071046349573,GAS
15,309.7809171606107,326.76971690361904,GAS
16,270.8712189329426,238.50593982420608,PER
17,205.19970300976536,198.15146461031745,PER
18,270.0423383775057,269.30994998529144,PER
19,300.1765815555556,305.00735031352383,GAS
20,314.16406036308695,321.461770656,GAS
21,294.50716748491243,279.1467987117949,PER
22,218.88073790632177,188.7387899078959,PER
23,264.7493438382761,263.2051313718247,PER
24,297.99543159952157,300.572669894631,GAS
