Minisector,NOR,MAG,Fastest
0,242.609386764873,238.59465882082426,NOR
1,277.0490999791181,270.4172393321265,NOR
2,174.09932590128827,175.124824667356,MAG
3,150.02891840826555,147.44351978374488,NOR
4,255.64410839416934,253.56136768595042,NOR
5,268.2676363058504,264.8678624740142,NOR
6,218.1835808150855,217.45694454313292,NOR
7,195.7958029261388,193.19287171260797,NOR
8,151.15849214596813,149.27320118126724,NOR
9,204.88780482473905,200.36648459700055,NOR
10,269.16019873616165,263.75839178248395,NOR
11,119.38519186799081,120.94084021433649,MAG
12,196.13349399860886,193.82590219328523,NOR
13,272.92930489396826,262.78442823318176,NOR
14,306.3243132875577,286.16985891929824,NOR
15,320.6083390948571,295.06468331487974,NOR
16,262.86324000759686,276.6704951702494,MAG
17,120.23659248418087,133.43879289026236,MAG
18,124.89753328488361,123.5439473700761,NOR
19,121.89296046089234,120.38046534085828,NOR
20,224.75094559204834,207.25453486668977,NOR
21,255.14285483209235,249.03567683598223,NOR
22,232.5345468619142,241.8758408790676,MAG
23,210.5684233314093,197.61874187817222,NOR
24,130.9554369877316,128.9043061833649,NOR
25,,202.81398110814814,MAG
