Minisector,RUS,NOR,Fastest
0,313.9240280739506,313.5736986952381,RUS
1,325.9187804037645,325.0309050238924,RUS
2,330.65611373871786,328.80571187364853,RUS
3,301.13892989358146,311.2959844667086,NOR
4,152.489175670293,153.21457027897125,NOR
5,196.73241383805765,186.96741846683727,RUS
6,218.1480124375483,214.60710063657243,RUS
7,258.7933838994997,258.9002308640005,NOR
8,231.07344083846837,239.30238606335382,NOR
9,156.3210654785933,151.84465550314243,RUS
10,208.84819285490815,203.91181028313167,RUS
11,121.6882714425364,127.45558598008023,NOR
12,228.550893227447,233.47535400173163,NOR
13,163.14714734312878,157.94977806843744,RUS
14,207.17803951738463,214.982941925409,NOR
15,219.77815718974924,224.98058220638583,NOR
16,264.36019931061577,261.55091306046336,RUS
17,304.5161369479086,289.87261416605827,RUS
18,142.55998770418336,154.02562798313733,NOR
19,157.13669879872515,158.47427985778742,NOR
20,132.268195768097,135.69075947582638,NOR
21,222.66669628635492,226.5600036832368,NOR
22,246.7271615504531,248.86791534488438,NOR
23,229.43737049483997,233.92192038780385,NOR
24,281.35448776632813,281.08912272925045,RUS
25,,305.99585195351216,NOR
