Minisector,HAM,BOT,Fastest
0,279.22326349229417,283.97678788571426,BOT
1,127.83786877390541,118.22075792067686,HAM
2,155.0369464959638,158.41768536934242,BOT
3,211.81946121674946,210.0970926026331,HAM
4,168.19280331844158,158.93535443455784,HAM
5,242.84489026346182,239.06835622654688,HAM
6,216.76609832248855,195.78827519085712,HAM
7,136.07994388808646,130.87477409094018,HAM
8,231.43330400609526,238.5265511560998,BOT
9,272.597293741936,282.69869331747896,BOT
10,282.53481438814816,281.842426611544,HAM
11,155.0532555122819,139.65831271120925,HAM
12,214.7934086814815,223.36965678545457,BOT
13,265.5600564631579,270.77311725629943,BOT
14,267.3686734239446,250.99801466190777,HAM
15,102.52746857847785,98.40678280598428,HAM
16,214.07550012383552,221.7866752,BOT
17,267.59949206349205,271.0259850745218,BOT
18,289.19134912645825,299.10089791521943,BOT
19,300.84633759253035,314.1442792243809,BOT
20,304.26715686274514,322.8355354514286,BOT
21,286.7288428925647,271.84138365382427,HAM
22,155.38887761824088,142.89991297932082,HAM
23,228.7346136628036,237.32442981956103,BOT
24,273.89343869885806,284.44826603005293,BOT
