Minisector,RAI,MAG,Fastest
0,279.29682585396824,280.15915274378153,MAG
1,293.26416699428574,297.5331161904626,MAG
2,243.36596873272583,244.91185519171842,MAG
3,117.0462905127933,121.70983462359521,MAG
4,133.09828580854273,122.655822854112,RAI
5,251.740356531677,245.14090966218512,RAI
6,263.5928738443832,261.3006408063985,RAI
7,125.56282805663183,121.13875120972645,RAI
8,246.45046701893986,244.4079566010412,RAI
9,258.62162657460317,262.628300834632,MAG
10,211.2895001496018,200.3778700330498,RAI
11,141.65242306031746,142.93301988602292,MAG
12,206.1546363319728,199.94263837460318,RAI
13,265.5547053724435,264.74895238111685,RAI
14,118.93570559854575,119.86162995550819,MAG
15,186.92768003555557,178.30656546262625,RAI
16,258.3791346852883,252.29058849683415,RAI
17,292.21044683428573,286.9410715936508,RAI
18,307.59727469874684,300.28245614035086,RAI
19,314.38456334122424,305.51791664,RAI
20,315.87060183703704,309.9041665185185,RAI
21,175.5575037365185,202.46404566883209,MAG
22,142.66315804225783,125.61124052369202,RAI
23,202.62915817929826,199.1539076928773,RAI
24,238.89410396312627,228.15545608677348,RAI
25,,267.28854213333335,MAG
