Minisector,PER,GAS,Fastest
0,292.37612861555215,288.660906540211,PER
1,209.2089241918797,206.09129583654098,PER
2,225.80384279536142,222.98566208422207,PER
3,274.1497069234533,270.15751488,PER
4,249.01467658450167,245.18441719906758,PER
5,132.55067723330006,128.6969705771609,PER
6,212.67638772167044,209.69375080691358,PER
7,257.14806821388714,253.51942045654775,PER
8,246.44721202381749,237.08298788500957,PER
9,231.30658821804985,232.13352335783392,GAS
10,275.6661821884092,272.07473543837943,PER
11,294.3899368012426,289.05147435885715,PER
12,303.8828127911111,299.58661439668265,PER
13,308.16907902556386,304.54627689280755,PER
14,311.3117647372549,300.12820855714284,PER
15,268.21262633802314,250.62123073430894,PER
16,240.13754675870317,236.49041705904764,PER
17,278.485781494722,274.1572852864,PER
18,296.80263518695904,286.9678908341568,PER
19,156.3298408815777,163.06813391586894,GAS
20,209.1120091263734,206.9659622544684,PER
21,188.49093526531183,180.35405216127472,PER
22,137.10975051271433,138.8238467662404,GAS
23,238.70394073469205,230.67680074240002,PER
24,281.67376554739394,274.89784700931125,PER
