Minisector,LEC,VER,Fastest
0,252.44625272681142,253.64186804970726,VER
1,217.80942104035555,211.63498614030163,LEC
2,202.92168898150118,202.7105359576541,LEC
3,255.6450012248804,262.46673909520047,VER
4,270.7699998526984,278.7889653794345,VER
5,289.3682222648889,294.04219392249246,VER
6,157.8433706685152,141.39340616840263,LEC
7,162.61051040263374,195.77287005573194,VER
8,265.7285965213362,271.4904797378695,VER
9,295.4379774625801,298.1271206972121,VER
10,308.24275360551917,310.7880193013077,VER
11,312.1596180724059,310.8417992460243,LEC
12,117.16638536752615,108.56808411987456,LEC
13,193.35943125287463,200.52082384482384,VER
14,269.44036449634643,271.5922800299415,VER
15,293.9963415597861,296.36113638358444,VER
16,301.85350993868974,298.40482877633474,LEC
17,187.47937253056958,185.13157753326766,LEC
18,215.7272125394061,218.14637855973692,VER
19,268.7625507426263,270.9888888888889,VER
20,145.60133414106207,142.60497556790395,LEC
21,144.74316561767188,145.35535119830908,VER
22,218.54276129575757,219.11509519786665,VER
23,233.49435618462292,239.32225476212534,VER
24,161.6912732928869,158.73047674486318,LEC
25,224.61111466666668,225.00749952,VER
