Minisector,HAM,HAD,Fastest
0,133.70193195669518,207.1407965588406,HAD
1,153.2395886556322,205.0,HAD
2,212.40800963838635,242.41667230832823,HAD
3,245.79558732698413,271.60877151812866,HAD
4,271.2872164,280.7233085593985,HAD
5,283.6812809333292,177.27610081975308,HAM
6,307.0734384,115.72943656421053,HAM
7,315.04009509285714,138.52977734117647,HAM
8,319.50269243076923,195.7736388162332,HAM
9,320.69437488,171.392,HAM
10,319.4906047587097,110.07759773511111,HAM
11,269.7033233066667,117.17614043508772,HAM
12,199.13463193777454,164.4901882013986,HAM
13,107.39231820057971,181.03381300306646,HAD
14,94.76065602454202,138.38377961791508,HAD
15,135.10931230592288,130.04170628644337,HAM
16,182.75729288205127,171.2924317753208,HAM
17,214.7206192549761,221.22501409656834,HAD
18,236.71521780869566,250.24107085714283,HAD
19,209.61904761904762,268.12999936,HAD
20,147.4223664746902,291.42857142857144,HAD
21,123.18263174736842,303.7718748,HAD
22,142.8436556848485,310.0,HAD
23,197.43593984447844,319.7060604121212,HAD
24,229.23339442705313,323.6666666666667,HAD
25,,323.644,HAD
