Minisector,NOR,VER,Fastest
0,274.75472158776336,274.20942742031747,NOR
1,292.9058367216971,291.6349362634548,NOR
2,292.803332418355,290.4197752550265,NOR
3,169.53534308098514,176.4685296813649,VER
4,116.98481762666768,115.74168921040292,NOR
5,233.83825422593856,234.01368529305728,VER
6,287.95131092487094,277.177780565047,NOR
7,303.2100790707644,291.7287611906802,NOR
8,168.38659207687687,175.79189616759726,VER
9,135.35426136140646,137.62400901947657,VER
10,245.05446676135824,245.8266041478116,VER
11,285.3954384484941,285.6320812095425,VER
12,291.34082536098356,294.7272669426716,VER
13,266.56930057200776,266.05598555474745,NOR
14,288.3774294634243,291.3166600840377,VER
15,290.9639130323428,292.4179270990099,VER
16,236.19751109348337,239.38507015103,VER
17,218.60065166766438,211.04876920700318,NOR
18,279.8767297423378,272.0071588473429,NOR
19,313.1144119216204,296.9410717954499,NOR
20,317.8472166213244,304.67406141903484,NOR
21,226.61879999577923,217.5520661134109,NOR
22,257.3827177491597,251.3158061107408,NOR
23,128.3372801363537,136.4789074930935,VER
24,216.42509125728722,208.98207535414227,NOR
25,,253.11000064,VER
