Minisector,BOT,ZHO,Fastest
0,287.5964740166739,289.94169350498277,ZHO
1,296.98196944484846,300.1150445631615,ZHO
2,293.3508600270988,298.50682334983804,ZHO
3,178.79894608299324,182.70741501520985,ZHO
4,205.04557559574613,203.35233305001046,BOT
5,207.72104783272388,201.59211931407802,BOT
6,262.57370735170474,263.97160119272337,ZHO
7,244.33833400401568,246.9489980785743,ZHO
8,200.80218437847944,204.1649812657935,ZHO
9,208.9927429311031,201.267034828206,BOT
10,138.28148769851458,146.88517282445358,ZHO
11,202.18361565896566,201.17270528666435,BOT
12,180.20571105559748,178.06573324181474,BOT
13,243.5030268530562,239.82657492384564,BOT
14,176.29534370741493,174.41831800249645,BOT
15,232.9168343478072,235.23440856068376,ZHO
16,274.6981113532807,274.67638006190464,BOT
17,272.77170371164834,275.1298216082816,ZHO
18,250.48915320138858,264.07465792122053,ZHO
19,242.16649807924736,249.2297951301818,ZHO
20,245.41580430349208,250.71173138002638,ZHO
21,254.8164185307687,257.9823791787887,ZHO
22,223.3055129575896,212.78958171748178,BOT
23,197.74146850912712,198.66275752031135,ZHO
24,265.6725636081996,268.0232041855982,ZHO
