Minisector,NOR,VER,Fastest
0,278.3171310811947,279.35518294222226,VER
1,298.4426557386766,297.5620090724894,NOR
2,298.95017011809523,298.272529389811,NOR
3,183.22936163115133,187.00453195471195,VER
4,117.82227898695666,118.39603769873305,VER
5,241.26687300720235,233.5865732185773,NOR
6,282.282444935766,284.5283282174796,VER
7,294.35608542698566,295.73770339849625,VER
8,182.48809806211997,173.06956874200228,NOR
9,144.5976882650608,138.97362901815217,NOR
10,251.83451503869713,248.40007149307013,NOR
11,290.0338064202616,292.64412235950306,VER
12,292.1546655363975,298.2798522587508,VER
13,265.5021522147,279.4706373499034,VER
14,297.15977072761905,304.101607374043,VER
15,300.2456359903455,306.5223861597691,VER
16,247.30623170556066,246.50169862921908,NOR
17,226.4068545630226,223.68475020092453,NOR
18,281.9800259318212,283.10515911695217,VER
19,305.75839021865227,309.23215664935674,VER
20,309.64676114610404,317.21886793882385,VER
21,241.10933553228548,238.96890738303998,NOR
22,261.30886973018505,260.17637569066665,NOR
23,132.6981829755002,139.16814395931218,VER
24,221.10028647854546,207.19268021359804,NOR
25,,261.1071451428572,VER
